,timestamp,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,uq type,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,status
454,30/10/2023 11:56:23,Rural,56,62,63,60.33,61.0,Griffith University,6.9,61.0,BMP,1.0,,,,,"CSP, BMP",,10,0,0,2nd,,,Unsure,Well,,2023,26-50,,
455,30/10/2023 11:56:45,Non-Rural,63,74,75,70.67,71.75,,,,,,,The University of Wollongong,5.5,71.75,CSP,1.0,0,2,0,4th,,,,Unsure,,2023,0-5,"ANU, Griffith, UniMelb, UNDS, UQ",
456,30/10/2023 11:56:46,Rural,54,59,58,57.0,57.25,The University of Queensland (DD MP),6.53,57.0,BMP,1.0,,,,,"CSP, BMP",,10,0,0,,Tier 1 (DD RMP),,Yes,Well,,2023,11-25,,
457,30/10/2023 11:56:50,Non-Rural,59,77,61,65.67,64.5,The University of Notre Dame Sydney,6.75,65.67,FFP,6.0,,,,,"CSP, BMP, FFP",,2,0,0,4th,,,Unsure,Unsure,,2023,26-50,,
458,30/10/2023 11:57:27,Non-Rural,83,75,77,78.33,78.0,The University of Queensland (Greater Brisbane),7.0,78.33,CSP,1.0,,,,,"CSP, BMP",,0,0,0,,,,Yes,Unsure,,2023,0-5,,
459,30/10/2023 11:57:44,Non-Rural,63,66,71,66.67,67.75,,,,,,,The University of Notre Dame Sydney,6.5,66.67,"CSP, BMP, FFP",1.0,0,0,3,4th,,,,Well,,2023,11-25,"Griffith, MQ, UniMelb, UNDF, UoW",
460,30/10/2023 11:59:30,Rural,63,64,68,65.0,65.75,Deakin University,6.313,65.75,CSP,2.0,,,,,"CSP, BMP",,10,0,0,4th,,,Yes,Unsure,,2023,6-10,,
461,30/10/2023 12:01:10,Non-Rural,74,83,80,79.0,79.25,,,,,,,The University of Notre Dame Sydney,5.476,79.0,"CSP, BMP",2.0,4,0,0,4th,Tier 3,,,Well,,2023,26-50,"Griffith, MQ, UNDF, UQ",
462,30/10/2023 12:02:59,Rural,66,65,64,65.0,64.75,Griffith University,6.93,64.75,CSP,1.0,,,,,CSP,,2,0,0,3rd,,,Yes,Unsure,,2023,11-25,,
463,30/10/2023 12:04:34,Rural,58,70,58,62.0,61.0,The University of Queensland (DD MP),6.73,62.0,CSP,1.0,,,,,"CSP, BMP, FFP",,0,0,0,2nd,Tier 1 (DD RMP),,Yes,Very well,,2023,26-50,,
