,uni,offer type,postgrad,gpa,gamsat,combo score
266,University of Sydney,CSP,No,5.56,71.0,1.504285714
267,University of Sydney,BMP,No,6.68,71.0,1.664285714
268,University of Sydney,BMP,No,5.73,71.0,1.528571429
269,University of Sydney,CSP,No,5.8,71.0,1.538571429
270,University of Sydney,CSP,Yes,6.93,71.0,1.7
271,University of Sydney,CSP,No,5.63,72.0,1.524285714
272,University of Sydney,CSP,No,6.63,72.0,1.667142857
273,University of Sydney,CSP,No,6.38,72.0,1.631428571
274,University of Sydney,CSP,No,5.98,72.0,1.574285714
275,University of Sydney,CSP,No,6.36,72.0,1.628571429
276,University of Sydney,CSP,No,6.41,72.0,1.635714286
277,University of Sydney,CSP,No,6.57,72.0,1.658571429
278,University of Sydney,BMP,No,5.23,72.0,1.467142857
279,University of Sydney,CSP,Yes,6.94,72.0,1.711428571
280,University of Sydney,CSP,No,6.96,72.0,1.714285714
281,University of Sydney,CSP,No,6.44,72.0,1.64
283,University of Sydney,CSP,No,5.85,73.0,1.565714286
284,University of Sydney,CSP,No,6.22,73.0,1.618571429
285,University of Sydney,CSP,No,6.8,73.0,1.701428571
286,University of Sydney,CSP,No,6.71,73.0,1.688571429
287,University of Sydney,CSP,No,6.34,73.0,1.635714286
288,University of Sydney,CSP,No,6.22,73.0,1.618571429
289,University of Sydney,CSP,No,6.04,73.0,1.592857143
290,University of Sydney,CSP,No,6.25,73.0,1.622857143
291,University of Sydney,CSP,No,5.76,74.0,1.562857143
292,University of Sydney,CSP,No,6.63,74.0,1.687142857
294,University of Sydney,CSP,No,5.97,74.0,1.592857143
295,University of Sydney,CSP,No,6.81,74.0,1.712857143
296,University of Sydney,CSP,No,6.71,74.0,1.698571429
297,University of Sydney,CSP,No,5.99,75.0,1.605714286
