,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
37,Rural,54,63,55,The University of Wollongong,5.87,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,4
38,Non-Rural,57,77,75,Macquarie University,6.625,,,,,0.0,,0.0,,0.0,,0.0,,Ast,0,0.0,0.0,0.0,0.0,0.0,0
39,Non-Rural,69,85,57,The University of Notre Dame Sydney,6.757,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
40,Non-Rural,75,75,77,The University of Queensland (Greater Brisbane),6.813,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
41,Non-Rural,59,82,52,of Notre Dame Fremantle,64,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Ath,0,0.0,0.0,0.0,0.0,0.0,0
42,Rural,50,62,51,Griffith University,6.74,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
43,Non-Rural,68,73,94,The University of Notre Dame Fremantle,5.486,The University of Wollongong,5.3,The University of Notre Dame Sydney,5.486,The University of Queensland (Greater Brisbane),5.625,Australian National University,5.486,Deakin University,5.549,,,4th,4,Did not apply,0.0,0.0,0.0,0.0,4
44,Non-Rural,62,86,68,The University of Notre Dame Sydney,6.948,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
45,Non-Rural,58,65,63,Deakin University,6.66,The University of Wollongong,6.455,The University of Queensland (Greater Brisbane),6.565,Griffith University,6.507,,,,,,,3rd,10,Did not apply,0.0,0.0,0.0,0.0,2
46,Non-Rural,56,69,55,,,Deakin University,6.83.,,,,,,,,,,,4th,4,id not apply,0.0,0.0,0.0,0.0,0
47,Non-Rural,57,79,59,The University of Notre Dame Sydney,6.979,The University of Melbourne,6.975,Deakin University,6.979,,,,,,,,,4th,0,Did not apply,No,0.0,0.0,0.0,0
48,Non-Rural,67,79,71,The University of Notre Dame Sydney,6.304,The University of Melbourne,6.308,Deakin University,6.308,,,,,,,,,4th,0,Did not apply,Yes,0.0,0.0,0.0,0
49,Non-Rural,72,73,54,The University of Wollongong,6.007,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,4
50,Non-Rural,55,56,66,The University of Wollongong,6.292,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,4
51,No   ural,67,64,75,The University of Notre Dame Fremantle,6.6,The University of Wollongong,6.6,Deakin University,6.395,Griffith University,6.6,The University of Queensland (Greater Brisbane),6.6,The University of Notre Dame Sydney,6.6,,,3rd,2,Did not apply,0.0,0.0,0.0,0.0,4
52,Non-Rural,59,59,59,,,Deakin University,5.813,Griffith University,6.913,The University of Wollongong,5.813,The University of Queensland (Greater Brisbane),7,The University of Melbourne,6.033,Macquarie University,6.624,2nd,2,Did not apply,Yes,0.0,0.0,0.0,4
53,Non-Rural,57,74,72,The University of Queensland (RMP/DDMP),6.825,The University of Melbourne,6.793,,,,,,,,,,,4th,0,0.0,No,0.0,Tier 3,Toowoomba,0
54,Non-Rural,72,77,83,The University of Queensland (Greater Brisbane),6.938,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
55,Non-Rural,62,59,70,0.0,,The University of Wollongong,6.736,The University of Melbourne,6.83.,Deakin University,6.81,The University of Notre Dame Sydney,6.73,Macquarie University,6.73,The University of Western Australia,6.66,2nd,4,Did not apply,No,0.0,0.0,0.0,2
56,Non-Rural,67,66,82,Griffith University,6.49,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
57,Non-Rural,68,71,76,Griffith University,6.625,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
58,Non-Rural,62,72,74,The University of Wollongong,55,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,2
59,Non-Rural,58,66,70,The University of Queensland (RMP/DDMP),6.99,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
60,Rural,75,75,53,Australian National University,6.948,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
61,Non-Rural,56,65,81,Deakin University,6.93,The University of Melbourne,6.91,,,,,,,,,0.0,,4th,2,Did not apply,No,0.0,0.0,0.0,0
62,Rural,72,61,59,The University of Notre Dame Fremantle,6.27,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
63,Non-Rural,67,74,57,The University of Wollongong,6.948,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,2
64,Non-Rural,62,64,65,The University of Notre Dame Sydney,6.75,The University of Wollongong,6.75,The University of Queensland (Greater Brisbane),6.786,Griffith University,6.778,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,4
65,No   ural,65,59,71,The University of Notre Dame Fremantle,6.893,Deakin University,6.983,The University of Notre Dame Sydney,6.983,The University of Queensland (RMP/DDMP),6.869,Griffith University,6.869,The University of Wollongong,6.893,0.0,,3rd,0,Did not apply,0.0,0.0,Tier 3,Toowoomba,0
66,Rural,61,62,54,The University of Queensland (RMP/DDMP),6.397,,,,,,,,,,,0.0,,3rd,0,0.0,0.0,0.0,Tier 2,Toowoomba,0
67,Non-Rural,67,72,73,The University of Notre Dame Sydney,6.575,,,,,,,,,,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
68,Rural,54,56,52,Griffith University,6.885,,,,,,,,,,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
69,Non-Rural,68,66,63,The University of Notre Dame Sydney,6.69,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Ath,0,0.0,0.0,0.0,0.0,0.0,0
70,Non-Rural,59,68,71,Deakin University,6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2nd,4,Did not apply,0.0,0.0,0.0,0.0,0
71,Non-Rural,73,72,62,The University of Queensland (Greater Brisbane),7,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
72,Non-Rural,57,66,77,Australian National University,6.778,The University of Notre Dame Sydney,6.653,,,,,,,,,,,Ast,0,0.0,0.0,0.0,0.0,0.0,0
