,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
42,Non-Rural,66,73,81,4,2,2,Deakin University,6.46,0.0,,0.0,,0.0,,0.0,,Deakin University,6.626,0.0,
43,Non-Rural,60,66,78,0,0,0,Griffith University,6.84,Australian National University,684,0.0,,0.0,,0.0,,0.0,,0.0,
44,Non-Rural,68,64,81,0,0,0,The University of Queensland,6.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
45,Non-Rural,65,71,65,0,0,0,0.0,,0.0,,The University of Queensland,,Australian National University,,The University of Western Australia,,0.0,,Griffith University,6.875
46,Non-Rural,63.,69,59,2,0,0,0.0,,The University of Melbourne,,Griffith University,,The University of Notre Dame Fremantle,,Deakin University,,Deakin University,6.889,0.0,
47,Rural,67,75,60,12,0,0,Deakin University,5.812,The University of Queensland,,0.0,,0.0,,0.0,,The University of Notre Dame Fremantle,6.79,0.0,
48,Non-Rural,69,71,73,2,0,0,Griffith University,6.965,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
49,Non-Rural,60,57,77,0,0,0,0.0,,0.0,,Deakin University,,The University of Western Australia,,Griffith University,,0.0,,Macquarie University,6.591
50,Non-Rural,67,73,59,0,0,0,0.0,,The University of Melbourne,.9,Deakin University,6.7,0.0,,0.0,,The University of Notre Dame Sydney,6.75,0.0,
51,Non-Rural,62,59,77,4,0,0,Deakin University,6.688,The University of Melbourne,,0.0,,0.0,,0.0,,0.0,,0.0,
52,Non-Rural,64,69,1,0,0,0,The University of Queensland,6.42,The University of Notre Dame Sydney,.30,0.0,,0.0,,0.0,,0.0,,0.0,
53,Non-Rural,54,70,66,0,0,0,0.0,,The University of Melbourne,6.245,The University of Notre Dame Fremantle,6.875,Deakin University,6.896,0.0,,0.0,,The University of Melbourne,6.846
54,Non-Rural,64,81,67,0,0,0,Griffith University,6.854,The University of Notre Dame Sydney,6.875,0.0,,0.0,,0.0,,Australian National University,6.875,0.0,
55,Non-Rural,64,64,68,0,0,0,0.0,,0.0,,Australian National University,,The University of Queensland,,The University of Notre Dame Sydney,,0.0,,Deakin University,6.75
56,Non-Rural,67,59,76,0,0,0,The University of Queensland,6.88,The University of Melbourne,6.75,Deakin University,6.88,0.0,,0.0,,Griffith University,,0.0,
57,Non-Rural,71,78,65,2,0,0,The University of Queensland,7,The University of Melbourne,6.88,Deakin University,6.79,The University of Notre Dame Sydney,6.79,0.0,,0.0,,0.0,
58,Non-Rural,60,69,73,0,2,2,0.0,,The University of Melbourne,6.58,The University of Melbourne,6.44,Australian National University,6.49,0.0,6.427,0.0,,0.0,6.315
59,Non-Rural,75,76,72,0,2,2,The University of Queensland,7,The University of Western Australia,6.281,0.0,,0.0,,0.0,,The University of Notre Dame Fremantle,,0.0,
60,Rural,59,54,64,6,0,0,Deakin University,6.365,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
61,Non-Rural,78,80,58,2,4,4,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
62,Non-Rural,58,76,55,0,2,2,0.0,,0.0,,The University of Melbourne,,Australian National University,,0.0,,0.0,,0.0,
63,Non-Rural,62,73,68,0,2,2,The University of Queensland,7,The University of Wollongong,55,0.0,,0.0,,0.0,,Griffith University,,0.0,
64,Non-Rural,65,71,63.,0,0,0,The University of Notre Dame Sydney,6.755,The University of Melbourne,6.313,0.0,,0.0,,0.0,,0.0,,0.0,
65,Rural,74,68,1,14,0,0,Griffith University,6.688,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
66,Non-Rural,68,65,73,0,0,0,Griffith University,6.938,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
67,Non-Rural,62,74,67,0,0,0,The University of Notre Dame Sydney,6.659,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
68,Non-Rural,69,70,68,6,2,2,0.0,,0.0,,The University of Melbourne,,The University of Queensland,,0.0,,0.0,,0.0,6.396
69,Non-Rural,65,76,77,0,2,2,The University of Queensland,7,Deakin University,6.396,0.0,,0.0,,0.0,,The University of Notre Dame Fremantle,,0.0,
70,Non-Rural,63,64,99,0,0,0,The University of Queensland,6.72,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
71,Non-Rural,60,75,79,2,0,0,Griffith University,6.917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
72,Non-Rural,67,67,74,0,0,0,The University of Notre Dame Sydney,6.73,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
73,Non-Rural,68,82,70,2,0,0,The University of Queensland,6.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
74,Non-Rural,73,67,77,0,0,0,The University of Notre Dame Sydney,65,0.0,65,0.0,,0.0,,0.0,,0.0,,0.0,
75,Non-Rural,60,79,67,2,0,0,Macquarie University,6.688,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
76,Non-Rural,62,80,62,2,0,0,The University of Wollongong,55,0.0,65,0.0,,0.0,,0.0,,0.0,,0.0,
77,Non-Rural,70,58,72,4,2,2,The University of Notre Dame Fremantle,6.89,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
78,Rural,60,60,60,0,0,0,The University of Notre Dame Fremantle,6,0.0,6.84,0.0,,0.0,,0.0,,0.0,,0.0,
79,Non-Rural,62,64,75,0,2,2,The University of Notre Dame Sydney,6.82,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
80,Rural,61,57,59,8,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
81,Non-Rural,62,74,70,0,0,0,Macquarie University,6.73,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
82,Non-Rural,66,75,73,0,0,0,The University of Notre Dame Sydney,6.87,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
83,Non-Rural,62,69,77,0,0,0,The University of Queensland,6.938,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
