Residency,University,Offer type,Postgrad,Rural?,GPA,GAMSAT,GPA/7 + GAMSAT/100,Year,Deakin Bonus,Melbourne Access,,,,,,,,
Local,University of Queensland,CSP,No,No,6.69,71,1.665714286,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,5.5,65,1.435714286,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,6.63,68,1.627142857,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,5.78,67,1.495714286,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,6.56,68,1.617142857,2020,,,,,,,,,,
Local,University of Queensland,CSP,Yes,No,6.91,68,1.667142857,2020,,,,,,,,,,
Local,University of Queensland,BMP,No,No,6.4,72,1.634285714,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,6.08,66,1.528571429,2020,,,,,,,,,,
Local,University of Queensland,CSP,Yes,No,6.81,67,1.642857143,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,6.86,67,1.65,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,6.95,72,1.712857143,2020,,,,,,,,,,
Local,University of Queensland,BMP,No,No,6.2,64,1.525714286,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,6.72,68,1.64,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,7,67,1.67,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,No,7,67,1.67,2020,,,,,,,,,,
Local,University of Queensland,BMP,Yes,Yes,6.41,66,1.575714286,2020,,,,,,,,,,
Local,University of Queensland,BMP,Yes,Yes,6.25,61,1.502857143,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,Yes,6.75,69,1.654285714,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,Yes,6.95,70,1.692857143,2020,,,,,,,,,,
Local,University of Queensland,CSP,No,Yes,6.82,60,1.574285714,2020,,,,,,,,,,
International,University of Sydney,FFP,No,No,7,69,1.69,2020,,,,,,,,,,
International,University of Sydney,CSP,No,No,6.55,74,1.675714286,2020,,,,,,,,,,
International,University of Sydney,BMP,No,Yes,5.9,56,1.402857143,2020,,,,,,,,,,
International,University of Sydney,BMP,No,Yes,4.86,58,1.274285714,2020,,,,,,,,,,
International,University of Sydney,BMP,No,Yes,4.58,65,1.304285714,2020,,,,,,,,,,
International,University of Sydney,BMP,Yes,Yes,4.8,60,1.285714286,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.03,76,1.478571429,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.52,71,1.641428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.76,69,1.655714286,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.95,88,1.872857143,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.55,69,1.482857143,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.8,69,1.518571429,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.88,70,1.682857143,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.2,70,1.442857143,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,No,6.28,70,1.597142857,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.66,72,1.671428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,Yes,No,5.75,71,1.531428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.3,69,1.447142857,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.48,80,1.725714286,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.96,69,1.541428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.68,72,1.531428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.33,75,1.654285714,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.67,79,1.742857143,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.4,71,1.481428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.5,71,1.638571429,2020,,,,,,,,,,
Local,University of Sydney,CSP,Yes,No,5.88,70,1.54,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6,76,1.617142857,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,No,7,69,1.69,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6,71,1.567142857,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.21,74,1.484285714,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,5.56,74,1.534285714,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.96,73,1.724285714,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.83,74,1.715714286,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,No,5.82,70,1.531428571,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,No,6.92,70,1.688571429,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,Yes,5.95,70,1.55,2020,,,,,,,,,,
Local,University of Sydney,BMP,Yes,Yes,6.19,67,1.554285714,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,5.2,75,1.492857143,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.51,61,1.54,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.66,64,1.591428571,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.68,60,1.554285714,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,4.99,61,1.322857143,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,4.75,62,1.298571429,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,5.78,65,1.475714286,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,4.88,57,1.267142857,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.09,62,1.49,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.13,67,1.545714286,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.5,63,1.558571429,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,5.87,63,1.468571429,2020,,,,,,,,,,
Local,University of Sydney,CSP,No,Yes,5.38,65,1.418571429,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.2,61,1.495714286,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,6.07,61,1.477142857,2020,,,,,,,,,,
Local,University of Sydney,CSP,Yes,Yes,5.89,62,1.461428571,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,5.13,59,1.322857143,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,4.69,63,1.3,2020,,,,,,,,,,
Local,University of Sydney,BMP,No,Yes,5.58,65,1.447142857,2020,,,,,,,,,,
Local,University of Sydney,BMP,Yes,Yes,6.72,61,1.57,2020,,,,,,,,,,
International,University of Western Australia,FFP,No,No,7,73,1.73,2020,,,,,,,,,,
Local,University of Western Australia,CSP,No,No,6.87,75,1.731428571,2020,,,,,,,,,,
Local,University of Western Australia,CSP,No,No,6.98,65,1.647142857,2020,,,,,,,,,,
Local,University of Western Australia,CSP,No,No,6.85,71,1.688571429,2020,,,,,,,,,,
Local,University of Western Australia,CSP,No,No,7,68,1.68,2020,,,,,,,,,,
Local,University of Western Australia,CSP,No,No,6.48,78,1.705714286,2020,,,,,,,,,,
Local,University of Western Australia,BMP,No,Yes,5.66,67,1.478571429,2020,,,,,,,,,,
Local,University of Western Australia,CSP,No,Yes,6.55,71,1.645714286,2020,,,,,,,,,,
International,University of Wollongong,CSP,No,No,6.6,63,1.572857143,2020,,,,,,,,,,
International,University of Wollongong,CSP,No,Yes,7,88,1.88,2020,,,,,,,,,,
Local,University of Wollongong,BMP,No,No,6.14,62,1.497142857,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,No,6.4,60,1.514285714,2020,,,,,,,,,,
Local,University of Wollongong,CSP,Yes,No,6.89,64,1.624285714,2020,,,,,,,,,,
Local,University of Wollongong,CSP,Yes,No,6.85,62,1.598571429,2020,,,,,,,,,,
Local,University of Wollongong,BMP,No,No,6.14,62,1.497142857,2020,,,,,,,,,,
Local,University of Wollongong,BMP,No,No,6.76,66,1.625714286,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,No,6.86,63,1.61,2020,,,,,,,,,,
Local,University of Wollongong,BMP,No,No,6.75,57,1.534285714,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,No,6.39,63,1.542857143,2020,,,,,,,,,,
Local,University of Wollongong,BMP,No,No,6.75,82,1.784285714,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,No,7,69,1.69,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,5.75,60,1.421428571,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,5.49,60,1.384285714,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,6.75,55,1.514285714,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,6.84,60,1.577142857,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,6.42,65,1.567142857,2020,,,,,,,,,,
Local,University of Wollongong,BMP,No,Yes,6.27,62,1.515714286,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,6.15,63,1.508571429,2020,,,,,,,,,,
Local,University of Wollongong,CSP,No,Yes,5.87,57,1.408571429,2020,,,,,,,,,,
Local,University of Queensland,BMP,Honours,No,6.87,66,1.641428571,2019,,,,,,,,,,
Local,University of Queensland,BMP,None,No,5.34,72,1.482857143,2019,,,,,,,,,,
Local,University of Queensland,BMP,None,No,7,71,1.71,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.97,79,1.785714286,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.15,75,1.628571429,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.22,75,1.638571429,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.78,76,1.728571429,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.64,71,1.658571429,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,6.63,74,1.687142857,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,6,74,1.597142857,2019,,,,,,,,,,
Local,University of Queensland,CSP,Masters (coursework),No,5.75,77,1.591428571,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.2,72,1.605714286,2019,,,,,,,,,,
Local,University of Queensland,CSP,Yes,No,6.86,76,1.74,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.05,73,1.594285714,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.95,74,1.59,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,5,73,1.444285714,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.02,75,1.61,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,7,72,1.72,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,6.98,77,1.767142857,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,7,76,1.76,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.04,73,1.45,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.11,75,1.622857143,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.93,72,1.71,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.94,73,1.721428571,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.17,76,1.641428571,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,5.4,74,1.511428571,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,6.14,72,1.597142857,2019,,,,,,,,,,
Local,University of Queensland,CSP,Masters (coursework),No,5.21,68,1.424285714,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.6,72,1.662857143,2019,,,,,,,,,,
Local,University of Queensland,BMP,Masters (coursework),Yes,6.23,66,1.55,2019,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.7,68,1.637142857,2019,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.44,65,1.57,2019,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.15,65,1.385714286,2019,,,,,,,,,,
Local,University of Queensland,CSP,Honours,Yes,6.2,71,1.595714286,2019,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6,76,1.617142857,2019,,,,,,,,,,
Local,University of Queensland,CSP,Masters (coursework),Yes,6.88,70,1.682857143,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.56,66,1.597142857,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.54,70,1.634285714,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.88,70,1.54,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.71,71,1.668571429,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.88,70,1.54,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.65,80,1.75,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.91,72,1.707142857,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.25,74,1.49,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,8.9,73,2.001428571,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6,72,1.577142857,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.31,68,1.438571429,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.33,68,1.441428571,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.39,73,1.642857143,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.26,68,1.574285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.05,73,1.594285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.13,72,1.595714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.57,72,1.658571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.44,77,1.69,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.08,72,1.445714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.18,70,1.582857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.5,69,1.475714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,NO,6.88,74,1.722857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.01,76,1.618571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.11,72,1.592857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.81,74,1.712857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.6,72,1.52,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.1,69,1.418571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.96,72,1.714285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.71,75,1.565714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.96,87,1.864285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.23,68,1.57,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.41,76,1.675714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.6,69,1.632857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.81,70,1.53,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.54,69,1.481428571,2019,,,,,,,,,,
Local,University of Sydney,CSP,Masters (coursework),No,5.5,70,1.485714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.09,68,1.407142857,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.12,69,1.564285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.4,75,1.664285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.33,77,1.674285714,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.3,71,1.61,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.5,68,1.608571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.91,72,1.707142857,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,74,1.597142857,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.18,78,1.662857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.52,73,1.518571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.31,69,1.448571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.48,69,1.615714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.84,75,1.727142857,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.24,75,1.641428571,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.53,73,1.662857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.1,72,1.591428571,2019,,,,,,,,,,
Local,University of Sydney,FFP,None,No,6,65,1.507142857,2019,,,,,,,,,,
Local,University of Sydney,FFP,None,No,7,68,1.68,2019,,,,,,,,,,
Local,University of Sydney,FFP,Honours,No,6.75,77,1.734285714,2019,,,,,,,,,,
Local,University of Sydney,BMP,none,Yes,5.55,62,1.412857143,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6,66,1.517142857,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.07,60,1.467142857,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.04,64,1.502857143,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.82,70,1.674285714,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.12,64,1.514285714,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.55,71,1.645714286,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.8,62,1.448571429,2019,,,,,,,,,,
Local,University of Sydney,BMP,Honours,Yes,6.1,63,1.501428571,2019,,,,,,,,,,
Local,University of Sydney,BMP,Honours,Yes,5.97,67,1.522857143,2019,,,,,,,,,,
Local,University of Sydney,BMP,Honours,Yes,5.99,65,1.505714286,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.71,63,1.445714286,2019,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.5,60,1.385714286,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.01,72,1.578571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.08,70,1.568571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.5,70,1.628571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,5.34,71,1.472857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.64,62,1.568571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.95,68,1.672857143,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.01,64,1.498571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.78,70,1.668571429,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.45,73,1.651428571,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,5.47,62,1.401428571,2019,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.06,63,1.495714286,2019,,,,,,,,,,
Local,Australian National University,BMP,Honours,No,6.83,68,1.655714286,2018,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.76,66,1.625714286,2018,,,,,,,,,,
Local,Australian National University,CSP,Masters (coursework),No,7,69,1.69,2018,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.92,71,1.698571429,2018,,,,,,,,,,
Local,Australian National University,CSP,Masters (coursework),No,6.57,71,1.648571429,2018,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.43,72,1.638571429,2018,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.57,73,1.668571429,2018,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.57,74,1.678571429,2018,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.79,70,1.67,2018,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.89,73,1.714285714,2018,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.87,72,1.701428571,2018,,,,,,,,,,
Local,Australian National University,CSP,Masters (coursework),No,6.35,74,1.647142857,2018,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.82,70,1.674285714,2018,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.65,66,1.61,2018,,,,,,,,,,
Local,Australian National University,CSP,Masters (coursework),No,6.7,66,1.617142857,2018,,,,,,,,,,
Local,Australian National University,CSP,None,No,6.61,79,1.734285714,2018,,,,,,,,,,
Local,Australian National University,CSP,Honours,No,6.42,70,1.617142857,2018,,,,,,,,,,
Local,Australian National University,FFP,Honours,No,6.86,74,1.72,2018,,,,,,,,,,
Local,Australian National University,BMP,Honours,Yes,6.52,59,1.521428571,2018,,,,,,,,,,
Local,Australian National University,BMP,None,Yes,6,65,1.507142857,2018,,,,,,,,,,
Local,Australian National University,BMP,None,Yes,7,67,1.67,2018,,,,,,,,,,
Local,Australian National University,BMP,None,Yes,6.11,68,1.552857143,2018,,,,,,,,,,
Local,Australian National University,BMP,None,Yes,6.95,58,1.572857143,2018,,,,,,,,,,
Local,Australian National University,BMP,Masters (coursework),Yes,6.6,56,1.502857143,2018,,,,,,,,,,
Local,Australian National University,BMP,Masters (coursework),Yes,6.86,64,1.62,2018,,,,,,,,,,
Local,Australian National University,CSP,None,Yes,6.64,61,1.558571429,2018,,,,,,,,,,
Local,Australian National University,CSP,PhD,Yes,6.93,78,1.77,2018,,,,,,,,,,
Local,Australian National University,CSP,None,Yes,6.55,68,1.615714286,2018,,,,,,,,,,
Local,Australian National University,FFP,Honours,Yes,6.14,73,1.607142857,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.77,66,1.627142857,2018,,,,,,,,,,
Local,Deakin University,BMP,Honours,No,6.96,66,1.654285714,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.84,69,1.667142857,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.8,69,1.661428571,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.6,69,1.632857143,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.81,71,1.682857143,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.88,69,1.672857143,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.69,76,1.715714286,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.91,73,1.717142857,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.95,65,1.642857143,2018,,,,,,,,,,
Local,Deakin University,BMP,None,No,6.8,61,1.581428571,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.85,63,1.608571429,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.96,68,1.674285714,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.81,71,1.682857143,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.94,67,1.661428571,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.66,82,1.771428571,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.78,69,1.658571429,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.36,65,1.558571429,2018,,,,,,,,,,
Local,Deakin University,CSP,Masters (coursework),No,6.22,76,1.648571429,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.59,69,1.631428571,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.56,73,1.667142857,2018,,,,,,,,,,
Local,Deakin University,CSP,Honours,No,6.68,68,1.634285714,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.79,63,1.6,2018,,,,,,,,,,
Local,Deakin University,CSP,Honours,No,6.67,68,1.632857143,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.92,67,1.658571429,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,7,69,1.69,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.77,70,1.667142857,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.91,70,1.687142857,2018,,,,,,,,,,
Local,Deakin University,CSP,None,No,6.68,73,1.684285714,2018,,,,,,,,,,
Local,Deakin University,BMP,None,Yes,6.5,65,1.578571429,2018,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,6.91,68,1.667142857,2018,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,6.49,60,1.527142857,2018,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,6.27,61,1.505714286,2018,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,6.7,67,1.627142857,2018,,,,,,,,,,
Local,Deakin University,CSP,PhD,Yes,6.88,67,1.652857143,2018,,,,,,,,,,
Local,Deakin University,CSP,Honours,Yes,6.55,65,1.585714286,2018,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,7,72,1.72,2018,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,6.67,66,1.612857143,2018,,,,,,,,,,
Local,Flinders University,BMP,None,No,6.16,62,1.5,2018,,,,,,,,,,
Local,Flinders University,BMP,PhD,No,6.8,60,1.571428571,2018,,,,,,,,,,
Local,Flinders University,BMP,None,No,5.85,62,1.455714286,2018,,,,,,,,,,
Local,Flinders University,BMP,None,No,6.22,62,1.508571429,2018,,,,,,,,,,
Local,Flinders University,CSP,None,No,5.83,63,1.462857143,2018,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.07,66,1.527142857,2018,,,,,,,,,,
Local,Flinders University,CSP,Honours,No,6.52,66,1.591428571,2018,,,,,,,,,,
Local,Flinders University,CSP,Honours,No,6.27,65,1.545714286,2018,,,,,,,,,,
Local,Flinders University,BMP,Honours,Yes,5.75,75,1.571428571,2018,,,,,,,,,,
Local,Flinders University,BMP,None,Yes,6.55,65,1.585714286,2018,,,,,,,,,,
Local,Griffith University,BMP,None,No,6.85,65,1.628571429,2018,,,,,,,,,,
Local,Griffith University,BMP,None,No,6.73,69,1.651428571,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.84,69,1.667142857,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.82,69,1.664285714,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.62,72,1.665714286,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,7,69,1.69,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.85,70,1.678571429,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.91,70,1.687142857,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.94,72,1.711428571,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,7,65,1.65,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,No,6.94,61,1.601428571,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.96,66,1.654285714,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.79,69,1.66,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,No,6.98,67,1.667142857,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,No,6.7,72,1.677142857,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.73,72,1.681428571,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.94,70,1.691428571,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,No,7,72,1.72,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.78,69,1.658571429,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,7,64,1.64,2018,,,,,,,,,,
Local,Griffith University,CSP,PhD,No,7,68,1.68,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.98,66,1.657142857,2018,,,,,,,,,,
