,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
43,Non-Rural,68,76,69,0.0,0.0,0,0,0,The University of Melbourne,6.86,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
44,Non-Rural,69,77,62,0.0,4th,0,0,0,The University of Notre Dame Fremantle,6.668,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
45,Non-Rural,57,75,73,0.0,0.0,8,8,8,Deakin University,6.458,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
46,Non-Rural,68,62,70,0.0,2nd,2,2,2,0.0,,Deakin University,6.917,0.0,6.8,0.0,6.917,0.0,,0.0,,0.0,
47,Non-Rural,74,70,64,0.0,4th,0,0,0,The University of Notre Dame Sydney,6.8,The University of Melbourne,6.7,0.0,,0.0,,0.0,,0.0,,0.0,
48,Non-Rural,66,76,55,0.0,3rd,0,0,0,The University of Notre Dame Fremantle,6.588,The University of Notre Dame Sydney,6.588,0.0,,0.0,,0.0,,0.0,,0.0,
49,Non-Rural,63,61,65,0.0,0.0,10,10,10,Deakin University,6.57,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
50,Non-Rural,78,68,65,0.0,0.0,0,0,0,The University of Melbourne,6.896,0.0,,The University of Queensland (DD MP),,0.0,,0.0,,0.0,,0.0,
51,Non-Rural,62,75,71,Tier 3,0.0,0,0,0,The University of Melbourne,6.87,Australian National University,6.87,0.0,6.75,0.0,,0.0,,0.0,,0.0,
52,Non-Rural,59,77,61,0.0,4th,2,2,2,The University of Notre Dame Sydney,6.75,The University of Melbourne,6.725,0.0,,0.0,,0.0,,0.0,6.719,0.0,
53,Non-Rural,68,81,65,0.0,4th,0,0,0,The University of Notre Dame Sydney,6.823,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
54,Non-Rural,59,61,86,0.0,4th,2,2,2,Deakin University,6.687,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
55,Non-Rural,61,64,72,0.0,Ath,0,0,0,Griffith University,7,The University of Melbourne:,7,0.0,,0.0,,0.0,,0.0,,0.0,
56,Non-Rural,65,74,79,Tier 3,4th,0,0,0,Griffith University,6.813,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
57,Non-Rural,62,64,98,0.0,0.0,0,0,0,The University of Melbourne,6.97,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5.89
58,Non-Rural,58,73,55,0.0,3rd,0,0,0,0.0,,The University of Wollongong,55,0.0,220,0.0,6.121,0.0,5.86,0.0,,0.0,
59,Non-Rural,67,77,57,0.0,3rd,0,0,0,The University of Notre Dame Sydney,6.824,The University of Queensland (Greater Brisbane),6.855,0.0,,0.0,,0.0,,0.0,,0.0,
60,Non-Rural,63,76,62,0.0,4th,6,6,6,The University of Notre Dame Sydney,6.667,Deakin University,6.6,0.0,,0.0,,0.0,,0.0,,0.0,
61,Non-Rural,60,64,72,0.0,3rd,0,0,0,Macquarie University,6.88,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
62,Non-Rural,73,67,90,0.0,0.0,0,0,0,Griffith University,6.443,The University of Melbourne,6.357,0.0,,0.0,,0.0,,0.0,,0.0,
63,Non-Rural,75,66,75,0.0,0.0,0,0,0,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
64,Non-Rural,74,83.,80,Tier 3,4th,4,4,4,The University of Notre Dame Sydney,5.476,Deakin University,5.539,0.0,,0.0,,0.0,,0.0,,0.0,
65,Non-Rural,65,69,70,0.0,2nd,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
66,Rural,66,65,64,0.0,3rd,2,2,2,Griffith University,6.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
67,Non-Rural,64,68,74,Tier 3,4th,0,0,0,The University of Notre Dame Fremantle,6.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
68,Non-Rural,67,85,89,0.0,0.0,0,0,0,The University of Melbourne,6.638,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
69,Non-Rural,68,72,72,0.0,Ath,0,0,0,of Notre Dame Fremantle,6.76,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
70,Non-Rural,65,67,75,0.0,3rd,0,0,0,The University of Melbourne,6.756,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
71,Rural,54,60,51,Tier 2,0.0,0,0,0,The University of Notre Dame Sydney,6.688,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
72,Non-Rural,68,77,64,0.0,4th,0,0,0,0.0,,Griffith University,6.74,The University of Queensland (DD MP),6.25,The University of Melbourne,6.638,0.0,,0.0,,0.0,6.75
73,Non-Rural,59,67,68,0.0,0.0,0,0,0,The University of Melbourne,6.906,The University of Melbourne,6.583,The University of Queensland (Greater Brisbane),6.668,Griffith University,6.722,0.0,6.639,0.0,,0.0,
74,Non-Rural,55,68,85,0.0,4th,0,0,0,The University of Notre Dame Sydney,6.77,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
75,Rural,69,63,50,0.0,2nd,4,4,4,The University of Melbourne,6.888,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
76,Non-Rural,67,71,81,0.0,0.0,0,0,0,Deakin University,6.917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
77,Non-Rural,63,63,82,0.0,1st,2,2,2,The University of Notre Dame Sydney,6.917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
78,Non-Rural,63,85,70,0.0,3rd,0,0,0,Macquarie University,6.64,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
79,Non-Rural,60,64,77,0.0,2nd,0,0,0,The University of Melbourne,6.651,The University of Western Australia,6.52,Australian National University,6.81,The University of Melbourne,6.677,0.0,6.677,0.0,,0.0,
80,Non-Rural,67,76,76,0.0,0.0,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,7
81,Non-Rural,51,62,74,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.844,The University of Melbourne,7,Deakin University,7,Griffith University,7,0.0,7,0.0,,0.0,
82,Non-Rural,64,74,65,0.0,Ath,2,2,2,The University of Notre Dame Sydney,6.74,Deakin University,6.844,The University of Melbourne,6.75,Australian National University,6.844,0.0,,0.0,,0.0,
83,Non-Rural,62,68,82,0.0,Ath,2,2,2,Deakin University,6.422,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
84,Rural,57,56,74,0.0,1st,10,10,10,The University of Melbourne,6.708,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
85,Non-Rural,67,64,95,0.0,0.0,2,2,2,The University of Notre Dame Sydney,6.87,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
86,Non-Rural,62,70,82,0.0,4th,2,2,2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
87,Non-Rural,61,66,65,0.0,0.0,8,8,8,The University of Notre Dame Sydney,5.76,0.0,6.26,0.0,,0.0,,0.0,,0.0,,0.0,
88,Rural,64,69,55,0.0,3rd,6,6,6,The University of Melbourne,6.875,0.0,,0.0,,0.0,6.26,0.0,,0.0,,0.0,
89,Non-Rural,55,86,70,0.0,0.0,2,2,2,Deakin University,6.809,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
90,Non-Rural,61,67,80,0.0,4th,2,2,2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
91,Non-Rural,63,64,63,0.0,0.0,2,2,2,The University of Melbourne,6.938,0.0,6.688,0.0,,0.0,,0.0,,0.0,,0.0,
92,Non-Rural,71,76,63,0.0,0.0,0,0,0,Deakin University,6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
93,Non-Rural,59,68,71,0.0,0.0,4,4,4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
94,Non-Rural,54,71,60,0.0,0.0,2,2,2,Australian National University,6.6,0.0,7,0.0,,0.0,,0.0,,0.0,,0.0,
95,Non-Rural,62,66,66,0.0,0.0,0,0,0,The University of Notre Dame Fremantle,7,0.0,,0.0,,0.0,64,0.0,,0.0,,0.0,
96,Non-Rural,62,69,65,0.0,Ath,0,0,0,Griffith University,65,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
97,Rural,50,50,77,0.0,0.0,8,8,8,The University of Melbourne,6.865,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
98,Non-Rural,68,67,74,0.0,0.0,0,0,0,The University of Melbourne,6.667,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
99,Non-Rural,68,76,75,0.0,4th,2,2,2,Deakin University,6.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
100,Rural,50,65,67,Tier 2,0.0,10,10,10,The University of Melbourne,6.75,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
101,Non-Rural,73,63,76,0.0,2nd,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
102,Non-Rural,65,77,1,0.0,0.0,2,2,2,The University of Melbourne,6.84,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
103,Non-Rural,63,84,70,0.0,4th,2,2,2,Deakin University,6.67,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
104,Non-Rural,63,69,84,0.0,0.0,6,6,6,The University of Notre Dame Sydney,6.99,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
105,Non-Rural,62,67,70,0.0,4th,2,2,2,The University of Notre Dame Sydney,6.896,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
106,Rural,60,65,64,0.0,1st,10,10,10,The University of Melbourne,6.53,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
107,Non-Rural,70,78,76,0.0,0.0,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
108,Non-Rural,71,72,67,0.0,3rd,0,0,0,The University of Notre Dame Sydney,6.49,0.0,65,0.0,,0.0,,0.0,,0.0,,0.0,
109,Non-Rural,65,70,62,0.0,4th,2,2,2,The University of Melbourne,6.6,0.0,6.513,0.0,65,0.0,,0.0,,0.0,,0.0,
110,Rural,55,69,54,0.0,4th,8,8,8,The University of Notre Dame Fremantle,6.823,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
111,Non-Rural,69,82,66,Tier 3,4st,0,0,0,The University of Notre Dame Sydney,6.15,0.0,6.354,0.0,,0.0,,0.0,,0.0,,0.0,
112,Non-Rural,53,67,94,0.0,4th,0,0,0,The University of Notre Dame Sydney,6.917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
113,Non-Rural,62,79,77,0.0,4th,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
114,Rural,64,76,73,0.0,4th,6,6,6,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
115,Non-Rural,61,66,86,0.0,0.0,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
116,Non-Rural,61,65,59,0.0,0.0,0,0,0,The University of Notre Dame Sydney,65,0.0,65,0.0,,0.0,,0.0,,0.0,,0.0,
117,Non-Rural,66,73,75,0.0,3rd,2,2,2,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
118,Non-Rural,66,67,100,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.841,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
119,Non-Rural,64,69,57,0.0,4th,0,0,0,The University of Notre Dame Fremantle,6.463,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
120,Non-Rural,69,70,68,0.0,4th,6,6,6,Deakin University,6.71,0.0,6.427,0.0,,0.0,,0.0,,0.0,,0.0,
121,Non-Rural,56,56,75,0.0,1st,6,6,6,Griffith University,6.938,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
122,Non-Rural,72,69,74,0.0,3rd,0,0,0,The University of Melbourne,6.88,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
123,Non-Rural,70,67,97,0.0,0.0,0,0,0,Griffith University,6.75,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
124,Non-Rural,79,71,67,0.0,0.0,4,4,4,Macquarie University,6.787,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
125,Non-Rural,62,68,71,0.0,4st,0,0,0,The University of Wollongong,55,0.0,6.787,0.0,,0.0,,0.0,,0.0,,0.0,
126,Non-Rural,61,79,64,0.0,Ath,4,4,4,Deakin University,6.68,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
127,Non-Rural,58,65,74,0.0,0.0,4,4,4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.3,0.0,6.3
128,Non-Rural,55,72,69,0.0,0.0,0,0,0,0.0,,0.0,6.2,0.0,,0.0,,0.0,,0.0,,0.0,
129,Non-Rural,64,68,80,0.0,0.0,0,0,0,Griffith University,7,0.0,5.955,0.0,55,0.0,,0.0,6.3,0.0,,0.0,
130,Non-Rural,56,62,78,Tier 3,0.0,0,0,0,The University of Melbourne,6.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
131,Rural,78,83.,72,0.0,0.0,0,0,0,Deakin University,6.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
132,Rural,67,74,57,0.0,0.0,10,10,10,The University of Notre Dame Sydney,6.76,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
133,Non-Rural,70,74,71,0.0,4th,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
134,Non-Rural,65,73,95,0.0,0.0,0,0,0,The University of Melbourne,6.98,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
135,Rural,57,57,56,0.0,0.0,0,0,0,Griffith University,6.91,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
136,Rural,61,65,62,0.0,4th,0,0,0,Griffith University,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
137,Non-Rural,63,62,78,0.0,3rd,0,0,0,The University of Melbourne,6.575,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
138,Non-Rural,64,82,77,0.0,0.0,0,0,0,The University of Notre Dame Fremantle,6.431,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
139,Non-Rural,50,73,66,0.0,Ath,0,0,0,The University of Melbourne,6.97,0.0,55,0.0,,0.0,,0.0,,0.0,,0.0,
140,Non-Rural,71,75,76,0.0,0.0,0,0,0,Deakin University,6.98,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
141,Rural,65,70,65,0.0,0.0,16,16,16,Macquarie University,6.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
142,Non-Rural,59,63,68,0.0,3rd,0,0,0,The University of Wollongong,55,The University of Notre Dame Sydney,,0.0,,0.0,,0.0,,0.0,,0.0,
143,Non-Rural,60,62,68,0.0,3rd,0,0,0,The University of Melbourne,6.975,0.0,7,0.0,,0.0,,0.0,,0.0,,0.0,
144,Non-Rural,64,69,78,0.0,2nd,0,0,0,The University of Melbourne,7,The University of Notre Dame Fremantle,,0.0,,0.0,,0.0,,0.0,,0.0,
145,Non-Rural,62,66,74,0.0,0.0,0,0,0,Macquarie University,6.896,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
146,Non-Rural,66,68,63,0.0,4th,2,2,2,The University of Notre Dame Sydney,6.907,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
147,Non-Rural,54,65,70,0.0,4th,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
148,Non-Rural,53,67,58,0.0,4th,0,0,0,The University of Notre Dame Fremantle,6.95,Griffith University,.,0.0,,0.0,,0.0,,0.0,,0.0,
149,Non-Rural,60,70,66,0.0,4th,0,0,0,Australian National University,6.835,The University of Notre Dame Sydney,,0.0,,0.0,,0.0,,0.0,,0.0,
150,Non-Rural,71,67,87,0.0,0.0,2,2,2,The University of Notre Dame Fremantle,6.951,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
151,Non-Rural,57,78,62,0.0,3rd,0,0,0,Macquarie University,6.889,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
152,Non-Rural,61,72,65,0.0,4th,0,0,0,Deakin University,6.99,The University of Melbourne,6.961,0.0,6.951,0.0,,0.0,,0.0,,0.0,
153,Non-Rural,53,74,1,0.0,0.0,4,4,4,The University of Melbourne,6.594,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
154,Non-Rural,73,82,75,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
155,Non-Rural,71,67,71,0.0,3rd,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
156,Non-Rural,60,66,68,0.0,0.0,4,4,4,Deakin University,6.99,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
157,Non-Rural,62,66,74,0.0,4th,4,4,4,The University of Melbourne,6.9,0.0,6.9,0.0,6.9,0.0,,0.0,,0.0,,0.0,
158,Non-Rural,77,81,62,0.0,4th,0,0,0,The University of Melbourne,6.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
159,Non-Rural,54,63,100,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.83.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
160,Non-Rural,65,67,73,0.0,3rd,2,2,2,The University of Melbourne,6.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
161,Non-Rural,62,58,1,0.0,0.0,0,0,0,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
162,Non-Rural,75,77,72,0.0,0.0,0,0,0,The University of Melbourne,6.778,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
163,Non-Rural,73,68,71,0.0,4th,6,6,6,The University of Western Australia,6.688,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
164,Non-Rural,67,78,93,0.0,3rd,0,0,0,Macquarie University,6.885,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
165,Non-Rural,62,56,78,0.0,2nd,0,0,0,The University of Notre Dame Sydney,6.688,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
166,Non-Rural,70,69,65,0.0,4th,2,2,2,Deakin University,6.83.,0.0,6.885,0.0,,0.0,,0.0,,0.0,,0.0,
167,Non-Rural,66,78,74,0.0,0.0,0,0,0,The University of Western Australia,6.917,0.0,6.688,0.0,6.688,0.0,,0.0,,0.0,,0.0,
168,Non-Rural,58,64,77,0.0,3rd,0,0,0,Deakin University,6.363,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
169,Non-Rural,60,77,82,0.0,3rd,4,4,4,The University of Melbourne,6.975,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
170,Non-Rural,68,78,73,0.0,0.0,4,4,4,The University of Western Australia,7,0.0,55,0.0,6.126,0.0,,0.0,,0.0,,0.0,
171,Non-Rural,62,66,65,0.0,1st,0,0,0,The University of Western Australia,6.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
172,Non-Rural,79,76,76,0.0,3rd,0,0,0,The University of Notre Dame Sydney,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
173,Non-Rural,67,76,77,0.0,2nd,0,0,0,The University of Notre Dame Fremantle,6.94,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
174,Non-Rural,62,67,68,0.0,4th,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
175,Non-Rural,61,71,70,0.0,2nd,0,0,0,The University of Notre Dame Fremantle,65,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
176,Non-Rural,59,78,70,Tier 3,4th,2,2,2,The University of Western Australia,6.646,0.0,6.7,0.0,,0.0,,0.0,,0.0,,0.0,
177,Rural,66,59,86,0.0,3rd,14,14,14,The University of Western Australia,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
178,Rural,68,66,81,0.0,2nd,0,0,0,The University of Melbourne,6.981,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
179,Non-Rural,69,75,62,0.0,4th,2,2,2,The University of Queensland (DD MP),6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
180,Rural,71,86,80,Tier 2,0.0,0,0,0,The University of Queensland (Greater Brisbane),6.8,0.0,6.979,0.0,,0.0,,0.0,,0.0,,0.0,
181,Non-Rural,64,86,69,0.0,Ath,0,0,0,The University of Queensland (CQ-WB RMP),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
182,Non-Rural,67,76,71,Tier 3,4th,0,0,0,The University of Western Australia,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
183,Non-Rural,60,60,74,0.0,3rd,0,0,0,The University of Western Australia,6.75,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
184,Non-Rural,56,73,75,0.0,0.0,0,0,0,The University of Queensland (Greater Brisbane),7,The University of Melbourne,7,0.0,7,0.0,,0.0,,0.0,,0.0,
185,Non-Rural,65,75,70,0.0,4th,0,0,0,The University of Melbourne,6.88,The University of Melbourne,6.68,0.0,,0.0,,0.0,,0.0,,0.0,
186,Rural,68,64,69,0.0,0.0,10,10,10,The University of Queensland (DD MP),6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
187,Rural,74,68,51,Tier 1 (DD RMP),0.0,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.392
188,Non-Rural,63,59,89,0.0,0.0,2,2,2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.397
