,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
189,Non-Rural,69,80,62,0.0,0.0,0,0,0,The University of Queensland (CQ-WB RMP),6.825,The University of Notre Dame Sydney,6.392,0.0,6.202,0.0,,0.0,,0.0,,0.0,
190,Non-Rural,62,78,68,Tier 3,Ath,0,0,0,The University of Western Australia,6.75,The University of Melbourne,6.383,0.0,6.402,0.0,6.392,0.0,55,0.0,,0.0,
191,Non-Rural,56,75,78,0.0,0.0,0,0,0,The University of Queensland (Greater Brisbane),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
192,Rural,67,68,56,0.0,0.0,0,0,0,The University of Queensland (Greater Brisbane),6.988,The University of Melbourne,6.6,0.0,,0.0,,0.0,,0.0,,0.0,
193,Rural,56,75,62,0.0,0.0,4,4,4,The University of Melbourne,6.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
194,Rural,67,59,69,0.0,0.0,4,4,4,The University of Queensland (DD MP),6.786,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
195,Non-Rural,62,68,72,Tier 3,Ath,2,2,2,The University of Melbourne,6.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
196,Non-Rural,62,66,100,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.786,Deakin University,6.868,Australian National University,6.868,0.0,,0.0,,0.0,,0.0,
197,Non-Rural,63,73,64,Tier 3,4th,0,0,0,The University of Melbourne,6.838,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
198,Non-Rural,63,78,84,0.0,0.0,0,0,0,The University of Queensland (CQ-WB RMP),6.783,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
199,Non-Rural,62,79,59,Tier 3,0.0,0,0,0,The University of Queensland (DD MP),6.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
200,Rural,58,70,58,Tier 1 (DD RMP),2nd,0,0,0,Macquarie University,6.51,Australian National University,6.896,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,
201,Non-Rural,71,70,66,0.0,3rd,0,0,0,The University of Notre Dame Sydney,6.219,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
202,Non-Rural,59,79,67,Tier 3,4th,0,0,0,The University of Western Australia,6.875,The University of Notre Dame Sydney,6.51,The University of Melbourne,6.52,0.0,,0.0,54,0.0,,0.0,
203,Non-Rural,62,75,67,0.0,3rd,2,2,2,The University of Western Australia,6.625,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
204,Non-Rural,65,76,71,0.0,4th,0,0,0,The University of Queensland (DD MP),6.75,Australian National University,6.93.,The University of Melbourne,6.54,0.0,,0.0,55,0.0,,0.0,
205,Non-Rural,63,69,85,Tier 3,2nd,0,0,0,The University of Notre Dame Sydney,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
206,Non-Rural,61,66,60,0.0,4th,0,0,0,The University of Queensland (CQ-WB RMP),7,The University of Melbourne,6.6,0.0,,0.0,,0.0,,0.0,,0.0,
207,Rural,52,55,63,Tier 1 (CQ-WB RMP),4th,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
208,Non-Rural,66,68,79,0.0,0.0,0,0,0,Australian National University,6.958,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
209,Non-Rural,61,75,65,0.0,2nd,0,0,0,Deakin University,6.67,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
210,Non-Rural,61,79,64,0.0,0.0,6,6,6,Deakin University,6.6,The University of Melbourne,6.969,0.0,6.958,0.0,,0.0,,0.0,,0.0,
211,Non-Rural,61,75,67,0.0,3rd,0,0,0,The University of Melbourne,6.85,The University of Melbourne,6.83,0.0,,0.0,,0.0,,0.0,,0.0,
212,Non-Rural,62,76,69,0.0,1st,2,2,2,The University of Western Australia,6.86,The University of Melbourne,6.7,0.0,,0.0,,0.0,,0.0,,0.0,
213,Non-Rural,60,68,76,0.0,4th,0,0,0,Australian National University,6.903,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
214,Non-Rural,66,53,78,0.0,3rd,0,0,0,The University of Western Australia,6.656,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
215,Non-Rural,73,60,78,0.0,2nd,2,2,2,The University of Queensland (Greater Brisbane),7,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,
216,Non-Rural,83.,75,77,0.0,0.0,0,0,0,Griffith University,6.917,Deakin University,6.646,0.0,,0.0,,0.0,,0.0,,0.0,
217,Non-Rural,63,75,69,0.0,2nd,2,2,2,The University of Queensland (Greater Brisbane),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
218,Rural,76,66,82,0.0,0.0,2,2,2,Griffith University,6.98,Australian National University,6.917,0.0,,0.0,,0.0,,0.0,,0.0,
219,Non-Rural,68,66,73,Tier 3,0.0,0,0,0,The University of Notre Dame Sydney,6.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
220,Non-Rural,71,72,54,0.0,4th,6,6,6,Griffith University,6.909,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
221,Rural,70,70,59,0.0,0.0,0,0,0,Griffith University,6.486,The University of Melbourne,6.7,0.0,55,0.0,,0.0,,0.0,,0.0,
222,Rural,64,63,50,0.0,0.0,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
223,Non-Rural,73,71,74,0.0,2nd,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
224,Non-Rural,61,60,74,0.0,Ath,4,4,4,The University of Queensland (DD MP),7,The University of Melbourne,6.41,0.0,,0.0,,0.0,,0.0,,0.0,
225,Rural,62,71,53,Tier 2,0.0,12,12,12,0.0,,Deakin University,6.609,Australian National University,6.609,0.0,,0.0,,0.0,,0.0,
226,Non-Rural,52,65,61,0.0,0.0,0,0,0,Griffith University,6.851,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
227,Rural,56,69,54,Tier 1 (DD RMP),0.0,0,0,0,Macquarie University,6.76,The University of Wollongong,55,Australian National University,6.649,0.0,,0.0,6.609,0.0,,0.0,
228,Non-Rural,60,66,70,0.0,0.0,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
229,Rural,52,57,50,0.0,4th,10,10,10,Deakin University,6.904,The University of Melbourne,6.73,0.0,,0.0,,0.0,,0.0,,0.0,
230,Non-Rural,58,64,70,0.0,0.0,6,6,6,The University of Queensland (CQ-WB RMP),7,The University of Melbourne,57,Deakin University,57,0.0,,0.0,,0.0,,0.0,
231,Non-Rural,59,72,67,Tier 3,4th,0,0,0,The University of Western Australia,6.75,Griffith University,6.927,The University of Western Australia,6.927,0.0,,0.0,,0.0,,0.0,
232,Non-Rural,69,76,81,0.0,4th,0,0,0,The University of Queensland (Greater Brisbane),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
233,Non-Rural,63,61,80,0.0,2nd,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
234,Non-Rural,62,72,74,0.0,4th,2,2,2,0.0,,The University of Melbourne,6.7,0.0,,0.0,,0.0,,0.0,6.792,0.0,
235,Non-Rural,69,66,59,0.0,0.0,2,2,2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
236,Non-Rural,70,61,77,0.0,0.0,0,0,0,Australian National University,6.925,Deakin University,6.792,Griffith University,6.708,0.0,,0.0,6.75,0.0,,0.0,
237,Non-Rural,67,68,75,0.0,0.0,2,2,2,Deakin University,7,The University of Melbourne,6.22,0.0,,0.0,,0.0,,0.0,,0.0,
238,Non-Rural,65,73,62,0.0,Ath,10,10,10,Deakin University,6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
239,Rural,56,63,58,0.0,0.0,14,14,14,The University of Western Australia,6.89,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
240,Non-Rural,59,63,70,0.0,0.0,2,2,2,The University of Queensland (DD MP),6.493,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
241,Rural,70,72,51,Tier 1 (DD RMP),0.0,0,0,0,The University of Queensland (CQ-WB RMP),7,Australian National University,6.89,The University of Melbourne,6.86,0.0,,0.0,,0.0,,0.0,
242,Non-Rural,67,60,73,Tier 3,0.0,0,0,0,The University of Queensland (DD MP),6.833,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
243,Non-Rural,71,57,80,Tier 3,0.0,0,0,0,The University of Queensland (DD MP),6.868,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
244,Non-Rural,69,64,75,Tier 3,0.0,0,0,0,The University of Queensland (CQ-WB RMP),7,0.0,,0.0,,0.0,,0.0,,0.0,6.651,0.0,
245,Non-Rural,60,76,67,Tier 3,Ath,2,2,2,0.0,,The University of Melbourne,6.825,Deakin University,6.813,0.0,,0.0,,0.0,,0.0,
246,Non-Rural,59,68,65,0.0,0.0,4,4,4,The University of Notre Dame Sydney,6.953,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.651
247,Non-Rural,68,66,65,0.0,3rd,0,0,0,The University of Melbourne,6.95,The University of Wollongong,55,The University of Notre Dame Sydney,6.651,0.0,,0.0,6.708,0.0,,0.0,
248,Non-Rural,68,66,70,0.0,3rd,0,0,0,The University of Western Australia,7,The University of Melbourne,6.945,0.0,,0.0,,0.0,,0.0,,0.0,
249,Non-Rural,57,61,73,0.0,0.0,2,2,2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
250,Non-Rural,52,67,56,0.0,0.0,2,2,2,The University of Queensland (CQ-WB RMP),7,Deakin University,6.969,0.0,,0.0,,0.0,,0.0,,0.0,
251,Non-Rural,59,83.,61,Tier 3,Ath,0,0,0,Australian National University,6.528,The University of Queensland (Greater Brisbane),6.95,Griffith University,6.94,0.0,,0.0,6.94,0.0,,0.0,
252,Non-Rural,61,66,86,0.0,1st,0,0,0,Deakin University,6.708,The University of Notre Dame Sydney,6.388,0.0,,Deakin University,,0.0,,0.0,,0.0,
253,Non-Rural,62,67,69,0.0,0.0,8,8,8,Griffith University,6.792,The University of Notre Dame Sydney,6.528,0.0,,0.0,,0.0,,0.0,,0.0,
254,Non-Rural,65,58,80,0.0,2nd,0,0,0,Australian National University,6.938,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
255,Non-Rural,65,73,68,0.0,0.0,0,0,0,The University of Queensland (CQ-WB RMP),7,The University of Melbourne,6.763,0.0,6.796,0.0,,0.0,,0.0,6.7,0.0,
256,Non-Rural,62,70,61,Tier 3,3rd,0,0,0,0.0,,0.0,,0.0,,Australian National University,,0.0,,0.0,,0.0,
257,Non-Rural,64,57,67,0.0,2nd,0,0,0,The University of Western Australia,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.7
258,Non-Rural,60,60,71,0.0,0.0,0,0,0,The University of Wollongong,55,The University of Western Australia,6.7,0.0,6.7,0.0,,0.0,6.7,0.0,5.969,0.0,
259,Rural,74,72,70,0.0,2nd,0,0,0,The University of Notre Dame Fremantle,5.969,The University of Notre Dame Sydney,6.823,0.0,,The University of Queensland (Greater Brisbane),,0.0,,0.0,,0.0,
260,Non-Rural,63,75,65,0.0,4th,0,0,0,The University of Notre Dame Fremantle,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
261,Non-Rural,59,68,72,0.0,4th,0,0,0,The University of Western Australia,6.792,The University of Notre Dame Sydney,5.969,0.0,55,0.0,,0.0,5.969,0.0,,0.0,
262,Non-Rural,69,78,64,0.0,0.0,4,4,4,The University of Western Australia,6.869,0.0,,0.0,,Macquarie University,,0.0,,0.0,,0.0,
263,Non-Rural,67,83.,68,0.0,4th,0,0,0,The University of Melbourne,6.963,The University of Melbourne,6.825,0.0,,0.0,,0.0,,0.0,,0.0,
264,Non-Rural,65,68,75,0.0,0.0,2,2,2,Deakin University,6.346,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
265,Rural,62,54,80,0.0,0.0,10,10,10,Griffith University,6.885,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
266,Non-Rural,61,57,80,Tier 3,0.0,0,0,0,The University of Western Australia,6.95,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
267,Non-Rural,76,68,71,0.0,2nd,0,0,0,The University of Western Australia,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
268,Rural,55,61,64,0.0,1st,10,10,10,The University of Notre Dame Sydney,6.969,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
269,Non-Rural,65,79,62,0.0,4th,2,2,2,The University of Notre Dame Sydney,6.97,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
270,Non-Rural,67,66,82,0.0,3rd,0,0,0,The University of Queensland (Greater Brisbane),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
271,Non-Rural,71,76,59,0.0,0.0,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
272,Non-Rural,53,72,79,0.0,0.0,0,0,0,Macquarie University,6.53,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
273,Non-Rural,63,53,84,0.0,2nd,0,0,0,The University of Notre Dame Sydney,6.849,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
274,Non-Rural,69,61,71,0.0,4th,0,0,0,The University of Notre Dame Fremantle,6.625,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
275,Non-Rural,75,66,74,0.0,2nd,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
276,Non-Rural,58,66,75,0.0,2nd,0,0,0,Griffith University,6.914,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.576
277,Non-Rural,54,73,81,0.0,4th,0,0,0,The University of Queensland (DD MP),6.984,0.0,55,0.0,6.736,0.0,6.625,0.0,6.736,0.0,,0.0,
278,Non-Rural,56,70,73,Tier 3,3rd,0,0,0,Deakin University,6.78,0.0,6.719,0.0,,0.0,,0.0,,0.0,,0.0,
279,Non-Rural,51,73,84,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.895,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
280,Non-Rural,65,59,73,0.0,4th,0,0,0,The University of Melbourne,6.95,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
281,Non-Rural,62,76,77,0.0,0.0,0,0,0,0.0,,The University of Melbourne,6.78,0.0,,0.0,,0.0,,0.0,,0.0,
282,Non-Rural,62,71,60,0.0,2nd,0,0,0,Macquarie University,7,Griffith University,6.895,0.0,,0.0,,0.0,,0.0,,0.0,
283,Non-Rural,59,72,69,0.0,2nd,0,0,0,The University of Notre Dame Sydney,6.962,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
284,Non-Rural,64,76,59,0.0,4th,0,0,0,Griffith University,6.656,Griffith University,6.51,0.0,6.813,0.0,6.807,0.0,,0.0,,0.0,
285,Rural,55,59,62,Tier 2,0.0,0,0,0,The University of Western Australia,6.8,The University of Notre Dame Sydney,6.813,0.0,,0.0,,0.0,,0.0,,0.0,
286,Rural,58,70,55,0.0,3rd,8,8,8,The University of Western Australia,6.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
287,Non-Rural,78,68,72,0.0,0.0,6,6,6,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
288,Non-Rural,72,68,80,0.0,0.0,2,2,2,The University of Queensland (Greater Brisbane),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
289,Non-Rural,71,71,70,0.0,1st,2,2,2,The University of Melbourne,6.988,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
290,Non-Rural,63,81,70,0.0,0.0,0,0,0,Macquarie University,6.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
291,Non-Rural,58,75,63,0.0,4th,0,0,0,Deakin University,6.958,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
292,Rural,52,54,78,0.0,0.0,8,8,8,Deakin University,6.865,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
293,Non-Rural,66,75,1,0.0,3rd,0,0,0,The University of Queensland (CQ-WB RMP),6.88,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
294,Non-Rural,64,60,73,Tier 3,0.0,2,2,2,The University of Notre Dame Sydney,6.89,0.0,,0.0,,0.0,,0.0,,0.0,6.142,0.0,
295,Non-Rural,59,68,70,0.0,4th,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
296,Non-Rural,67,63,66,0.0,4th,0,0,0,The University of Melbourne,6.85,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
297,Non-Rural,70,66,83.,0.0,0.0,0,0,0,The University of Queensland (DD MP),7,0.0,,0.0,,0.0,,0.0,6.142,0.0,6.3,0.0,
298,Non-Rural,62,70,66,Tier 3,0.0,2,2,2,0.0,,The University of Melbourne,6.052,0.0,,0.0,6.005,0.0,,0.0,,0.0,
299,Non-Rural,71,59,69,0.0,1st,0,0,0,Deakin University,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.3
300,Non-Rural,56,78,61,0.0,3rd,6,6,6,Deakin University,6.487,0.0,,0.0,,0.0,,0.0,55,0.0,,0.0,
301,Non-Rural,67,72,76,0.0,4th,4,4,4,Deakin University,6.854,Griffith University,6.3,0.0,,0.0,6.3,0.0,,0.0,,0.0,
302,Non-Rural,64,61,70,0.0,4th,8,8,8,The University of Queensland (CQ-WB RMP),6.48,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
303,Non-Rural,65,65,73,Tier 3,0.0,0,0,0,The University of Melbourne,6.754,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
304,Rural,62,71,81,0.0,0.0,0,0,0,The University of Notre Dame Fremantle,6.51,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,
305,Non-Rural,63,71,65,0.0,4th,0,0,0,Deakin University,6.616,The University of Melbourne,6.7,0.0,,0.0,,0.0,,0.0,,0.0,
306,Rural,64,79,52,0.0,0.0,12,12,12,The University of Melbourne,6.25,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
307,Rural,67,78,73,0.0,Ath,8,8,8,The University of Queensland (CQ-WB RMP),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
308,Non-Rural,70,86,64,Tier 3,0.0,0,0,0,Deakin University,6.604,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
309,Rural,56,57,74,Tier 2,0.0,12,12,12,The University of Notre Dame Fremantle,6.664,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
310,Non-Rural,60,77,65,0.0,4th,2,2,2,Griffith University,6.688,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
311,Rural,66,74,64,Tier 2,0.0,10,10,10,The University of Western Australia,6.958,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
312,Non-Rural,63,66,65,0.0,1st,0,0,0,The University of Notre Dame Sydney,6.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
313,Non-Rural,63,66,71,0.0,4th,0,0,0,The University of Melbourne,6.83.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
314,Non-Rural,65,70,75,0.0,0.0,0,0,0,The University of Queensland (DD MP),7,0.0,6.958,0.0,,0.0,6.969,0.0,,0.0,,0.0,
315,Non-Rural,82,68,66,Tier 3,0.0,0,0,0,The University of Queensland (CQ-WB RMP),6.706,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
316,Rural,54,62,53,Tier 1 (CQ-WB RMP),0.0,0,0,0,Griffith University,6.844,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
317,Non-Rural,63,64,75,0.0,0.0,0,0,0,The University of Western Australia,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
318,Non-Rural,69,66,99,0.0,0.0,0,0,0,The University of Notre Dame Fremantle,6.979,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
319,Non-Rural,58,72,68,0.0,4th,0,0,0,The University of Queensland (CQ-WB RMP),7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
320,Non-Rural,69,64,65,Tier 3,0.0,0,0,0,The University of Notre Dame Sydney,6.728,0.0,,0.0,,0.0,,0.0,,0.0,5.96,0.0,
321,Non-Rural,56,67,68,Tier 3,Ath,4,4,4,0.0,,0.0,6.958,0.0,,0.0,,0.0,,0.0,,0.0,
322,Non-Rural,67,70,57,0.0,0.0,2,2,2,Deakin University,6.833,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.62
323,Non-Rural,63,64,79,0.0,3rd,2,2,2,The University of Melbourne,6.958,0.0,,0.0,,0.0,,0.0,6.2,0.0,,0.0,
324,Rural,53,68,74,0.0,2nd,8,8,8,Griffith University,6.755,The University of Notre Dame Sydney,6.25,0.0,,0.0,7,0.0,,0.0,,0.0,
325,Non-Rural,62,63,78,0.0,0.0,0,0,0,Griffith University,6.95,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,
326,Non-Rural,60,73,88,0.0,0.0,0,0,0,The University of Melbourne,6.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
327,Rural,63,73,69,0.0,2nd,8,8,8,The University of Melbourne,6.98,The University of Queensland (Greater Brisbane),6.55,0.0,,0.0,,0.0,,0.0,,0.0,
328,Non-Rural,67,73,73,0.0,4th,2,2,2,0.0,,The University of Queensland (Greater Brisbane),6.94,0.0,,0.0,,0.0,,0.0,,0.0,
329,Non-Rural,58,56,52,0.0,0.0,2,2,2,Deakin University,6.49,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
330,Non-Rural,62,66,77,0.0,0.0,6,6,6,Deakin University,6.654,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
331,Non-Rural,64,68,84,0.0,3rd,2,2,2,The University of Queensland (DD MP),6.646,The University of Notre Dame Sydney,58,0.0,,0.0,,0.0,,0.0,,0.0,
332,Non-Rural,67,65,77,Tier 3,0.0,0,0,0,Deakin University,6.44,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
333,Rural,71,81,70,0.0,0.0,8,8,8,The University of Melbourne,6.3,The University of Melbourne,6.6,0.0,,0.0,,0.0,,0.0,,0.0,
334,Rural,66,73,77,0.0,0.0,4,4,4,Deakin University,7,Griffith University,6.646,0.0,,0.0,,0.0,,0.0,,0.0,
335,Non-Rural,57,66,85,0.0,0.0,0,0,0,The University of Queensland (CQ-WB RMP),6.625,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
336,Rural,55,60,64,Tier 3,0.0,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
337,Non-Rural,67,81,77,0.0,0.0,0,0,0,Macquarie University,6.646,The University of Melbourne,6.877,0.0,,0.0,,0.0,,0.0,,0.0,
338,Non-Rural,64,74,69,0.0,3rd,0,0,0,The University of Queensland (CQ-WB RMP),6.89,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
339,Rural,58,55,59,Tier 2,0.0,0,0,0,The University of Melbourne,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
340,Non-Rural,62,81,75,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.84,Australian National University,6.646,0.0,,0.0,,0.0,,0.0,,0.0,
341,Non-Rural,61,65,78,0.0,4th,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
342,Non-Rural,69,67,73,0.0,0.0,0,0,0,The University of Melbourne,6.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
343,Rural,66,72,69,0.0,0.0,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
344,Rural,78,76,78,0.0,Ath,0,0,0,0.0,,The University of Western Australia,6.302,0.0,,0.0,6.333,0.0,,0.0,,0.0,
345,Non-Rural,51,56,55,0.0,0.0,0,0,0,The University of Notre Dame Fremantle,6.88,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
346,Non-Rural,59,81,55,0.0,4th,0,0,0,Macquarie University,6.78,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
347,Non-Rural,59,61,73,0.0,1st,0,0,0,The University of Queensland (CQ-WB RMP),7,The University of Notre Dame Fremantle,6.69,0.0,,0.0,,0.0,,0.0,6.771,0.0,
348,Non-Rural,55,73,69,Tier 3,4th,4,4,4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
349,Non-Rural,57,59,76,0.0,0.0,0,0,0,Australian National University,6.52,The University of Notre Dame Sydney,6.78,0.0,,0.0,,0.0,,0.0,,0.0,
350,Non-Rural,51,69,82,0.0,0.0,0,0,0,The University of Notre Dame Sydney,6.896,0.0,,The University of Melbourne,,0.0,,0.0,6.771,0.0,,0.0,
351,Non-Rural,66,82,82,0.0,4th,4,4,4,Australian National University,6.1,The University of Queensland (Greater Brisbane),6.781,0.0,,0.0,6.771,0.0,,0.0,,0.0,
352,Rural,62,62,59,0.0,0.0,12,12,12,Deakin University,6.625,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
353,Non-Rural,68,80,74,0.0,3rd,2,2,2,The University of Melbourne,6.96,0.0,,The University of Melbourne,,0.0,,0.0,,0.0,,0.0,
354,Non-Rural,66,73,75,0.0,0.0,0,0,0,The University of Queensland (CQ-WB RMP),7,Deakin University,6.1,0.0,,0.0,,0.0,,0.0,,0.0,
355,Non-Rural,56,66,67,Tier 3,4th,0,0,0,Griffith University,6.64,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
356,Non-Rural,65,58,86,0.0,0.0,0,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,6.521,0.0,
357,Non-Rural,66,76,64,0.0,4th,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
358,Non-Rural,58,65,64,Tier 3,3rd,0,0,0,The University of Melbourne,6.963,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6.506
359,Non-Rural,71,67,73,0.0,3rd,0,0,0,The University of Melbourne,7,0.0,,The University of Notre Dame Sydney,,0.0,,0.0,55,0.0,,0.0,
360,Non-Rural,58,82,69,0.0,0.0,0,0,0,The University of Queensland (DD MP),7,Griffith University,65,0.0,,0.0,6.083,0.0,,0.0,,0.0,
361,Non-Rural,59,71,67,Tier 3,2nd,2,2,2,The University of Notre Dame Sydney,6.703,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
362,Non-Rural,74,75,58,0.0,4th,0,0,0,The University of Wollongong,55,0.0,,Australian National University,,0.0,,0.0,,0.0,,0.0,
363,Non-Rural,63,73,70,0.0,3rd,6,6,6,The University of Notre Dame Sydney,6.28,The University of Notre Dame Sydney,6.917,0.0,,0.0,,0.0,,0.0,,0.0,
364,Non-Rural,60,74,65,0.0,4th,0,0,0,The University of Melbourne,6.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
365,Rural,59,53,69,0.0,0.0,10,10,10,The University of Western Australia,6.854,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
366,Non-Rural,70,74,73,0.0,0.0,2,2,2,The University of Western Australia,6.902,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
367,Non-Rural,66,72,68,0.0,1st,0,0,0,The University of Notre Dame Sydney,65,0.0,,The University of Queensland (Greater Brisbane),,0.0,,0.0,,0.0,,0.0,
368,Non-Rural,71,73,53,0.0,4th,2,2,2,The University of Western Australia,6.66,Griffith University,6.292,0.0,,0.0,,0.0,,0.0,,0.0,
369,Rural,69,62,52,0.0,0.0,0,0,0,The University of Melbourne,6.73,0.0,,Deakin University,,0.0,,0.0,,0.0,,0.0,
370,Non-Rural,68,90,73,0.0,4th,0,0,0,The University of Notre Dame Fremantle,6.885,The University of Melbourne,65,0.0,,0.0,,0.0,,0.0,,0.0,
