,Rurality,University,GPA,GAMSAT,Final Combo Score,Raw Combo Score,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,
62,Non-Rural,Australian National University,6.7,56.75,1.52464285714286,1.52464285714286,0,0,0,GAM,
63,Non-Rural,Australian National University,6.125,64,1.515,1.515,0,0,0,-,
64,Non-Rural,Deakin University,6.917,72.25,1.71064285714286,1.71064285714286,0,2,0,-,
65,Non-Rural,Deakin University,6.861,71.25,1.69264285714286,1.69264285714286,0,0,0,-,
66,Non-Rural,Deakin University,7,69,1.69,1.69,0,0,0,Non-WA resident,
67,Non-Rural,Deakin University,6.875,70,1.68214285714286,1.68214285714286,0,0,0,Non-WA resident,
68,Non-Rural,Deakin University,6.88,69.5,1.67785714285714,1.67785714285714,0,0,0,-,
69,Non-Rural,Deakin University,6.421,75.75,1.70828142857143,1.67478571428571,2,0,0,-,
70,Non-Rural,Deakin University,6.925,68.5,1.67428571428571,1.67428571428571,0,0,0,-,
71,Non-Rural,Deakin University,6.8,70.25,1.67392857142857,1.67392857142857,0,0,0,-,
72,Non-Rural,Deakin University,6.65,72,1.67,1.67,0,0,0,-,
73,Non-Rural,Deakin University,6.698,71.25,1.70274428571429,1.66935714285714,2,2,0,-,
74,Non-Rural,Deakin University,6.917,68,1.66814285714286,1.66814285714286,0,0,0,-,
75,Non-Rural,Deakin University,6.79,69.75,1.70085,1.6675,2,0,0,Average portfolio,
76,Non-Rural,Deakin University,6.708,70.5,1.66328571428571,1.66328571428571,0,0,0,-,
77,Non-Rural,Deakin University,7,66,1.6932,1.66,2,0,0,-,
78,Non-Rural,Deakin University,7,66,1.6932,1.66,2,0,0,-,
79,Non-Rural,Deakin University,6.875,67.75,1.65964285714286,1.65964285714286,0,0,0,-,
80,Non-Rural,Deakin University,6.875,67.75,1.65964285714286,1.65964285714286,0,0,0,-,
81,Non-Rural,Deakin University,6.99,65.75,1.65607142857143,1.65607142857143,0,0,0,-,
82,Non-Rural,Deakin University,6.988,65.75,1.68890142857143,1.65578571428571,2,0,0,-,
83,Non-Rural,Deakin University,6.48,73,1.65571428571429,1.65571428571429,0,0,0,-,
84,Non-Rural,Deakin University,6.917,66.75,1.65564285714286,1.65564285714286,0,0,0,-,
85,Non-Rural,Deakin University,6.5,72.5,1.68664285714286,1.65357142857143,2,0,0,-,
86,Non-Rural,Deakin University,6.9,66.75,1.65321428571429,1.65321428571429,0,0,0,-,
87,Non-Rural,Deakin University,6.578,71.25,1.71830285714286,1.65221428571429,4,0,0,"Rural Medical Program applicant (e.g. UQ Wide Bay/Bundaberg RMP,)",
88,Non-Rural,Deakin University,6.47,72.75,1.68482142857143,1.65178571428571,2,0,0,-,
89,Non-Rural,Deakin University,6.5,72.25,1.65107142857143,1.65107142857143,0,0,0,-,
90,Non-Rural,Deakin University,6.656,70,1.65085714285714,1.65085714285714,0,0,0,-,
91,Non-Rural,Deakin University,7,65,1.65,1.65,0,0,0,-,
92,Non-Rural,Deakin University,6.889,66.5,1.64914285714286,1.64914285714286,0,0,0,GAM,
93,Non-Rural,Deakin University,6.573,71,1.649,1.649,0,0,0,-,
94,Non-Rural,Deakin University,6.931,65.75,1.64764285714286,1.64764285714286,0,0,0,BHMS(A) grad,
95,Non-Rural,Deakin University,6.771,67.75,1.64478571428571,1.64478571428571,0,0,0,-,
96,Non-Rural,Deakin University,6.644,69.5,1.64414285714286,1.64414285714286,0,0,0,"WA resident, decent portfolio with Fraser's Portfolio Course",
97,Non-Rural,Deakin University,6.2,75.75,1.64321428571429,1.64321428571429,0,2,0,-,
98,Non-Rural,Deakin University,6.6979,68.5,1.64184285714286,1.64184285714286,0,0,0,Forgot to submit Notre Dame portfolio lol,
99,Non-Rural,Deakin University,6.54,70.75,1.64178571428571,1.64178571428571,0,0,0,-,
100,Non-Rural,Deakin University,6.76,67.5,1.64071428571429,1.64071428571429,0,0,0,-,
101,Non-Rural,Deakin University,6.865,65.75,1.63821428571429,1.63821428571429,0,0,0,-,
102,Non-Rural,Deakin University,6.41,72.25,1.63821428571429,1.63821428571429,0,0,0,-,
103,Non-Rural,Deakin University,6.479,71.25,1.67083285714286,1.63807142857143,2,0,0,-,
104,Non-Rural,Deakin University,6.236,74.5,1.66857428571429,1.63585714285714,2,0,0,-,
105,Non-Rural,Deakin University,6.988,63,1.62828571428571,1.62828571428571,0,0,0,"GAM, below average portfolio",
106,Non-Rural,Deakin University,6.896,64,1.62514285714286,1.62514285714286,0,0,0,-,
107,Non-Rural,Deakin University,6.948,63.25,1.65757285714286,1.62507142857143,2,0,0,average portfolio,
108,Non-Rural,Deakin University,6.75,66,1.62428571428571,1.62428571428571,0,0,0,-,
109,Non-Rural,Deakin University,6.89,64,1.65677142857143,1.62428571428571,2,0,0,-,
110,Non-Rural,Deakin University,6.813,65,1.65575142857143,1.62328571428571,2,0,3,-,
111,Non-Rural,Deakin University,6.427,70.5,1.68806857142857,1.62314285714286,4,0,0,-,
112,Non-Rural,Deakin University,6.664,66.75,1.65189,1.6195,2,0,0,-,
113,Non-Rural,Deakin University,6.5,68.25,1.64329285714286,1.61107142857143,2,0,0,-,
114,Non-Rural,Deakin University,6.69,65.5,1.67514285714286,1.61071428571429,4,4,0,"Strong protfolio submitted to UOW (i.e. community engagement, leadership, research contributions etc), but still no offer because GPA is based on a degree I did nearly 10 years ago.",
