,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
355,Non-Rural,59,62,70,2,0,0,strong portfolio,Yes,The University of Notre Dame Sydney,6.236,63.66666667,The University of Melbourne,6.183,63.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
356,Non-Rural,64,82,64,0,0,0,forgot to submit notre dame portfolio lol,No,,,,Griffith University,6.75,68.5,The University of Queensland,6.5,70.0,The University of Melbourne,6.6678,70.0,The University of Notre Dame Fremantle,6.6979,70.0,Deakin University,6.6979,68.5,,,,2022,,,,,,,
357,Rural,64,77,58,0,0,0,,Yes,Griffith University,6.922,64.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
358,Non-Rural,71,62,79,0,0,0,,Yes,The University of Wollongong,5.5,72.75,The University of Notre Dame Sydney,6.375,70.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
359,Non-Rural,72,62,72,0,0,0,first class honours,Yes,The University of Queensland,7.0,68.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
360,Non-Rural,64,72,91,0,0,0,,Yes,Australian National University,6.823,79.5,The University of Notre Dame Sydney,6.823,75.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
361,Rural,52,56,64,0,0,0,strong portfolio,Yes,The University of Wollongong,5.5,59.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
362,Non-Rural,67,65,63,4,0,0,,Yes,The University of Wollongong,5.5,64.5,Griffith University,6.396,64.5,The University of Queensland,6.0,65.0,,,,,,,,,,,,,2022,,,,,,,
363,Non-Rural,59,68,57,0,0,0,strong portfolio,Yes,The University of Notre Dame Sydney,6.87,61.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
364,Non-Rural,63,65,65,0,2,0,,Yes,The University of Queensland,7.0,64.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
365,Non-Rural,65,81,55,0,0,0,,Yes,The University of Notre Dame Sydney,6.234,67.0,The University of Wollongong,5.5,64.0,The University of Notre Dame Sydney,6.234,67.0,The University of Notre Dame Fremantle,6.234,67.0,The University of Queensland,6.125,67.0,Griffith University,6.125,64.0,Australian National University,6.125,64.0,2022,,,,,,,
366,Non-Rural,60,71,75,0,0,0,,Yes,The University of Queensland,6.94,68.66666667,Deakin University,6.8,70.25,,,,,,,The University of Queensland,6.94,68.66666667,,,,,,,2022,,,,,,,
367,Non-Rural,63,72,69,0,2,0,"not wa resident, i would say portfolio was maybe slightly above average (idk?)
",Yes,The University of Notre Dame Fremantle,6.99,68.0,The University of Melbourne,6.75,68.0,The University of Wollongong,5.5,68.25,,,,,,,,,,,,,2022,,,,,,,
368,Non-Rural,66,61,58,2,0,0,,Yes,The University of Notre Dame Sydney,6.781,61.66666667,The University of Wollongong,5.5,60.75,,,,,,,,,,,,,,,,2022,,,,,,,
369,Non-Rural,60,72,77,2,0,0,,Yes,Griffith University,6.868,71.5,The University of Melbourne,6.802,69.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
370,Non-Rural,59,71,73,0,0,0,,Yes,The University of Wollongong,5.5,69.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
371,Non-Rural,56,72,80,0,0,0,,Yes,Griffith University,6.65,72.0,The University of Melbourne,6.61,69.33333333,Deakin University,6.65,72.0,,,,,,,,,,,,,2022,,,,,,,
372,Non-Rural,56,67,68,4,2,0,,Yes,The University of Queensland,7.0,63.66666667,The University of Notre Dame Sydney,6.728,63.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
373,Non-Rural,68,72,63,0,0,0,,Yes,The University of Notre Dame Sydney,6.875,67.66666667,The University of Melbourne,6.875,67.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
374,Non-Rural,70,72,70,0,0,0,,No,,,,The University of Melbourne,6.667,70.66666667,Deakin University,6.708,70.5,Griffith University,6.646,70.5,The University of Western Australia,6.646,70.5,Australian National University,6.719,70.5,,,,2022,,,,,,,
375,Non-Rural,61,64,63,0,0,0,,No,,,,The University of Melbourne,6.1,62.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
376,Non-Rural,64,73,87,2,0,0,tier 3 applicant uq rmp,Yes,The University of Queensland,6.862,74.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
377,Non-Rural,71,75,75,0,0,0,masters by research (7 gpa at uq),Yes,The University of Queensland,7.0,73.66666667,The University of Melbourne,5.8,73.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
378,Non-Rural,60,72,66,0,0,0,average,No,,,,The University of Wollongong,5.5,66.0,,,,,,,,,,,,,,,,2022,,,,,,,
379,Rural,57,72,67,8,0,0,,Yes,The University of Melbourne,5.8,65.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
380,Non-Rural,64,80,84,0,0,0,rmp applicant,Yes,The University of Queensland,6.54,76.0,The University of Notre Dame Sydney,6.06,76.0,Australian National University,6.44,78.0,,,,,,,,,,,,,2022,,,,,,,
381,Non-Rural,62,64,65,0,4,0,,Yes,The University of Queensland,7.0,63.66666667,Griffith University,7.0,64.0,,,,,,,,,,,,,,,,2022,,,,,,,
382,Non-Rural,70,69,65,0,2,0,,Yes,The University of Notre Dame Sydney,6.688,68.0,The University of Wollongong,5.5,67.25,,,,,,,,,,,,,,,,2022,,,,,,,
383,Non-Rural,60,77,65,2,0,0,,Yes,The University of Wollongong,5.5,66.75,The University of Notre Dame Fremantle,6.524,67.33333333,The University of Western Australia,6.535,66.75,The University of Notre Dame Sydney,6.524,67.33333333,Deakin University,6.664,66.75,Australian National University,6.532,66.75,,,,2022,,,,,,,
384,Non-Rural,65,77,56,0,0,0,fairly strong portfolio,Yes,The University of Notre Dame Sydney,6.9,66.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
385,Non-Rural,68,88,61,0,0,0,,Yes,The University of Melbourne,6.938,72.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
386,Non-Rural,63,60,77,0,0,0,,Yes,Macquarie University,7.0,69.25,The University of Melbourne,7.0,66.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
387,Non-Rural,58,86,71,0,0,0,,Yes,Deakin University,6.94,71.5,The University of Melbourne,6.36,71.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
388,Non-Rural,71,68,70,0,2,0,,Yes,The University of Queensland,6.5,69.66666667,The University of Melbourne,6.4,69.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
389,Non-Rural,62,68,65,0,2,0,"portfolio-average, rural medical program applicant",Yes,The University of Queensland,7.0,65.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
390,Non-Rural,60,69,68,0,0,0,strong portfolio,Yes,The University of Notre Dame Sydney,6.635,65.66666667,Griffith University,6.57,66.25,,,,,,,,,,,,,,,,2022,,,,,,,
391,Non-Rural,59,79,57,0,2,3,average portfolio,No,,,,The University of Notre Dame Sydney,6.771,65.0,Macquarie University,6.942,63.0,The University of Notre Dame Fremantle,6.771,65.0,Australian National University,6.771,63.0,The University of Wollongong,5.5,63.0,The University of Queensland,7.0,65.0,2022,,,,,,,
392,Rural,72,86,66,8,0,0,non uq rmp,Yes,Griffith University,5.5625,72.5,The University of Queensland,5.36719,74.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
393,Non-Rural,65,79,93,0,0,0,,Yes,The University of Melbourne,6.444,79.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
394,Non-Rural,63,73,72,0,0,0,,Yes,The University of Melbourne,6.963,69.33333333,The University of Notre Dame Sydney,6.969,69.33333333,,,,,,,,,,,,,,,,2022,,,,,,,
395,Non-Rural,62,64,74,0,0,0,,Yes,Griffith University,6.896,68.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
396,Rural,64,61,69,0,0,0,uq rmp,Yes,The University of Queensland,6.478,64.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
397,Non-Rural,67,68,68,0,0,0,wa resident,Yes,The University of Notre Dame Fremantle,6.9,67.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
398,Non-Rural,67,59,77,0,0,0,no,Yes,Griffith University,7.0,70.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
399,Non-Rural,65,66,93,0,0,0,no,Yes,Griffith University,7.0,79.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
400,Non-Rural,60,54,69,0,0,0,"gam, below average portfolio",No,,,,Griffith University,6.958,63.0,The University of Melbourne,6.964,61.0,The University of Notre Dame Sydney,6.969,61.0,Deakin University,6.988,63.0,The University of Western Australia,6.958,63.0,The University of Notre Dame Fremantle,6.696,61.0,2022,,,,,,,
401,Non-Rural,62,73,77,0,2,0,,Yes,The University of Notre Dame Sydney,6.82,70.66666667,Deakin University,6.917,72.25,,,,,,,,,,,,,,,,2022,,,,,,,
402,Non-Rural,66,64,77,0,0,3,i'd say it was aight,Yes,The University of Notre Dame Sydney,6.969,69.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
403,Rural,68,64,64,0,0,3,i'd say it was aight,Yes,The University of Notre Dame Sydney,6.384,65.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
404,Non-Rural,59,69,63,0,0,0,,No,,,,Griffith University,7.0,63.5,The University of Queensland,7.0,63.66666667,,,,,,,,,,,,,2022,,,,,,,
405,Non-Rural,68,76,69,0,0,0,,Yes,The University of Melbourne,6.793,71.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
406,Non-Rural,66,68,64,4,4,0,"strong protfolio submitted to uow (i.e. community engagement, leadership, research contributions etc), but still no offer because gpa is based on a degree i did nearly 10 years ago.
",Yes,The University of Western Australia,7.0,65.5,Deakin University,6.69,65.5,The University of Melbourne,6.25,66.0,The University of Wollongong,6.25,65.5,Griffith University,7.0,65.5,Australian National University,6.25,65.5,,,,2022,,,,,,,
407,Non-Rural,68,73,64,6,0,0,,Yes,Deakin University,6.698,67.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
408,Non-Rural,69,70,74,0,0,0,uq rmp,Yes,The University of Queensland,6.979,71.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
409,Rural,73,75,76,0,0,0,"duplicate entry, tier 1 rmp (bundaberg)",Yes,The University of Queensland,6.859,74.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
410,Non-Rural,74,58,74,0,2,0,gam 70 portfolio above avergare,No,,,,The University of Melbourne,6.163,68.66666667,The University of Notre Dame Sydney,6.302,68.66666667,Griffith University,6.0,70.0,Australian National University,6.302,70.0,The University of Notre Dame Fremantle,6.302,68.66666667,,,,2022,,,,,,,
411,Non-Rural,61,76,86,0,0,0,,Yes,The University of Melbourne,6.92,74.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
412,Non-Rural,69,58,76,0,0,0,,No,,,,The University of Notre Dame Sydney,5.01,67.66666667,Deakin University,6.014,69.75,The University of Queensland,6.313,67.66666667,Griffith University,5.144,69.75,The University of Melbourne,5.697,67.66666667,Macquarie University,5.25,69.75,2022,,,,,,,
413,Non-Rural,69,74,73,0,0,0,,Yes,The University of Melbourne,6.916,72.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
414,Non-Rural,54,80,69,2,0,0,,Yes,The University of Wollongong,5.5,68.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
415,Non-Rural,65,81,77,0,0,0,,Yes,The University of Melbourne,6.9,74.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
416,Non-Rural,64,73,74,4,0,0,"rural medical program applicant (e.g. uq wide bay/bundaberg rmp,)",Yes,The University of Queensland,7.0,70.33333333,The University of Melbourne,5.994,70.33333333,The University of Queensland,7.0,70.33333333,Deakin University,6.578,71.25,Australian National University,6.776,71.25,The University of Notre Dame Sydney,6.385,70.33333333,The University of Western Australia,6.479,71.25,2022,,,,,,,
417,Non-Rural,68,58,75,0,0,0,,Yes,Macquarie University,6.749,69.0,The University of Melbourne,6.843,67.0,Australian National University,6.749,69.0,Griffith University,6.615,69.0,,,,,,,,,,2022,,,,,,,
418,Rural,64,85,52,0,0,0,,Yes,The University of Notre Dame Sydney,6.15,67.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
419,Rural,58,66,63,12,0,0,,Yes,Deakin University,6.719,62.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
420,Non-Rural,61,75,75,2,0,0,,Yes,The University of Melbourne,6.912,70.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
421,Non-Rural,73,61,78,0,0,0,,Yes,The University of Wollongong,5.5,72.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
422,Non-Rural,82,78,80,0,4,0,,Yes,The University of Melbourne,6.9,80.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
423,Non-Rural,61,69,60,0,0,0,,Yes,The University of Queensland,7.0,63.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
424,Rural,60,74,84,8,0,0,,Yes,The University of Melbourne,6.675,72.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
425,Non-Rural,60,68,63,0,2,0,uq wide bay,Yes,The University of Queensland,7.0,63.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
426,Non-Rural,54,80,57,0,0,0,"strong portfolio, healthcare background (registered nurse)",Yes,The University of Notre Dame Sydney,6.9,63.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
427,Non-Rural,62,61,81,2,2,0,,Yes,Australian National University,6.698,71.25,Deakin University,6.698,71.25,,,,,,,,,,,,,,,,2022,,,,,,,
428,Non-Rural,69,62,78,0,0,0,,Yes,The University of Melbourne,6.938,69.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
429,Rural,60,60,68,0,0,0,received unimelb rural med interview offer,Yes,The University of Melbourne,6.875,62.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
430,Non-Rural,60,55,56,0,0,0,gam,No,,,,The University of Melbourne,6.3,57.0,The University of Notre Dame Sydney,6.4,57.0,Griffith University,6.3,56.75,The University of Notre Dame Fremantle,6.3,57.0,The University of Wollongong,5.5,56.75,Australian National University,6.7,56.75,2022,,,,,,,
431,Non-Rural,70,76,76,0,0,0,,Yes,The University of Melbourne,6.56,74.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
432,Non-Rural,60,78,68,0,0,0,uq rmp offer,Yes,The University of Queensland,7.0,68.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
433,Non-Rural,79,89,89,0,0,0,,Yes,The University of Melbourne,6.9,85.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
434,Non-Rural,58,61,64,0,0,3,,Yes,Macquarie University,6.927,61.75,The University of Notre Dame Sydney,6.927,61.0,The University of Notre Dame Fremantle,6.927,61.0,The University of Queensland,6.875,61.0,Griffith University,6.917,61.75,Macquarie University,6.927,61.75,The University of Wollongong,5.5,61.75,2022,,,,,,,
435,Non-Rural,77,86,65,0,0,0,,Yes,The University of Wollongong,5.5,73.25,Griffith University,5.7,73.25,,,,,,,,,,,,,,,,2022,,,,,,,
436,Non-Rural,64,63,69,6,0,3,strong,No,,,,The University of Wollongong,5.5,66.25,Macquarie University,6.1,66.25,The University of Notre Dame Sydney,5.8,65.33333333,,,,,,,,,,2022,,,,,,,
437,Non-Rural,65,65,81,0,0,0,,Yes,Macquarie University,6.41,73.0,The University of Melbourne,6.47,70.33333333,Deakin University,6.48,73.0,Australian National University,6.41,73.0,The University of Queensland,5.99,70.33333333,The University of Western Australia,6.19,73.0,,,,2022,,,,,,,
438,Non-Rural,55,67,80,2,2,0,below average portfolio,Yes,Australian National University,6.923,70.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
439,Non-Rural,68,64,73,0,0,0,,Yes,The University of Wollongong,5.5,69.5,The University of Notre Dame Sydney,6.146,68.33333333,The University of Queensland,5.781,68.33333333,,,,,,,,,,,,,2022,,,,,,,
440,Non-Rural,67,63,69,0,0,0,,Yes,Griffith University,7.0,67.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
441,Non-Rural,63,75,84,0,0,0,,Yes,The University of Melbourne,6.8,74.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
442,Non-Rural,73,69,81,4,4,0,,Yes,The University of Melbourne,6.953,74.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
443,Non-Rural,62,73,69,6,0,0,,Yes,Deakin University,6.76,68.25,The University of Queensland,6.85,68.0,,,,,,,,,,,,,,,,2022,,,,,,,
444,Non-Rural,75,77,77,0,0,0,,Yes,Griffith University,6.953,76.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
445,Rural,70,67,68,12,0,3,deakin rts,Yes,Deakin University,6.375,68.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
446,Non-Rural,54,82,68,0,2,0,uq wide bay/bundaberg rmp,Yes,The University of Queensland,7.0,68.0,Australian National University,6.743,68.0,,,,,,,,,,,,,,,,2022,,,,,,,
447,Rural,51,73,54,4,0,0,rmp,Yes,The University of Queensland,5.9,59.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
448,Non-Rural,74,67,62,4,4,0,uq rmp,Yes,The University of Queensland,7.0,67.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
449,Non-Rural,55,69,61,0,0,0,,Yes,The University of Notre Dame Sydney,6.969,61.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
450,Rural,62,71,61,8,0,0,,Yes,Deakin University,6.84,63.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
451,Rural,62,65,74,0,0,0,,Yes,Griffith University,6.375,68.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
452,Non-Rural,73,79,78,0,0,0,,Yes,The University of Melbourne,6.48,76.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
453,Non-Rural,59,74,65,2,0,0,,No,,,,The University of Notre Dame Sydney,6.33,66.0,The University of Melbourne,6.0,66.0,The University of Notre Dame Fremantle,6.33,66.0,Deakin University,6.0,65.75,The University of Wollongong,5.5,65.75,Griffith University,6.0,65.75,2022,,,,,,,
454,Non-Rural,74,72,73,0,0,0,,Yes,Griffith University,6.612,73.0,The University of Notre Dame Sydney,6.6,73.0,Australian National University,6.6,73.0,The University of Melbourne,6.6,73.0,,,,,,,,,,2022,,,,,,,
455,Rural,53,55,56,0,0,0,gam,Yes,The University of Melbourne,6.67,54.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
456,Rural,59,73,57,0,0,0,,Yes,The University of Queensland,7.0,63.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
457,Rural,59,64,71,0,0,0,wa resident,Yes,The University of Notre Dame Fremantle,6.97,64.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
458,Non-Rural,73,58,84,0,0,0,"not sure gpa is correct. study pattern was a left so only gemsas knows what they gave me.
",Yes,Australian National University,6.604,74.75,The University of Melbourne,6.371,71.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
459,Rural,58,70,53,0,0,0,above average,Yes,The University of Notre Dame Sydney,6.2,60.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
460,Non-Rural,71,73,74,0,0,0,,Yes,The University of Melbourne,6.73,72.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
461,Non-Rural,58,71,77,0,0,0,,Yes,Griffith University,6.57,70.75,The University of Melbourne,6.57,68.66666667,Australian National University,6.54,70.75,Deakin University,6.54,70.75,The University of Queensland,6.54,68.66666667,,,,,,,2022,,,,,,,
462,Non-Rural,59,86,70,0,0,0,,Yes,The University of Melbourne,6.83,71.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
463,Non-Rural,65,80,62,2,0,0,,No,,,,Deakin University,6.4,67.25,The University of Melbourne,6.4,69.0,,,,,,,,,,,,,2022,,,,,,,
464,Non-Rural,68,71,65,0,0,0,below average portfolio,No,,,,The University of Notre Dame Sydney,6.612,68.0,Macquarie University,6.612,67.25,Australian National University,6.612,67.25,The University of Wollongong,6.612,67.25,The University of Western Australia,6.612,67.25,The University of Notre Dame Fremantle,6.612,68.0,2022,,,,,,,
465,Non-Rural,68,64,100,0,0,0,,Yes,The University of Melbourne,6.45,77.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
466,Non-Rural,61,69,75,0,2,0,,Yes,The University of Notre Dame Sydney,6.979,68.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
467,Rural,79,71,79,4,0,3,,Yes,The University of Melbourne,6.79,76.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
468,Non-Rural,54,71,60,0,0,0,,Yes,The University of Wollongong,5.5,61.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
469,Non-Rural,67,64,86,0,2,0,,Yes,Australian National University,6.14,75.75,The University of Melbourne,6.15,72.33333333,Deakin University,6.2,75.75,The University of Queensland,6.02,72.33333333,Griffith University,6.272,75.75,The University of Western Australia,6.02,75.75,,,,2022,,,,,,,
470,Non-Rural,64,61,80,0,0,0,,Yes,Macquarie University,6.62,71.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
471,Non-Rural,66,82,61,0,0,0,gam,Yes,Macquarie University,6.813,67.5,The University of Melbourne,6.794,69.66666667,,,,,,,,,,,,,,,,2022,,,,,,,
472,Rural,58,64,57,8,0,0,,Yes,The University of Wollongong,5.5,59.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
473,Rural,56,59,56,0,0,0,rmp,Yes,The University of Queensland,6.26,57.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
474,Rural,63,64,69,14,0,0,,Yes,Griffith University,5.649,66.25,The University of Queensland,5.528,65.33333333,,,,,,,,,,,,,,,,2022,,,,,,,
475,Non-Rural,76,79,63,0,0,0,,Yes,The University of Queensland,7.0,72.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
476,Non-Rural,64,76,74,0,0,0,,Yes,The University of Notre Dame Fremantle,6.28,71.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
477,Rural,64,55,57,8,0,0,,Yes,Deakin University,6.396824167,58.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
478,Non-Rural,65,75,92,0,0,0,,Yes,The University of Melbourne,6.92,77.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
479,Rural,57,61,56,0,0,0,wa resident & rural applicant,Yes,The University of Notre Dame Fremantle,6.48,58.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
480,Rural,59,66,61,2,0,0,above average (rural health care experience + upbringing),Yes,The University of Wollongong,5.5,61.75,,,,,,,,,,,,,,,,,,,2022,,,,,,,
481,Rural,60,66,69,0,0,0,,Yes,The University of Queensland,6.344,65.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
482,Non-Rural,70,74,73,0,0,0,weak portfolio,Yes,The University of Melbourne,6.71,72.33333333,The University of Notre Dame Sydney,6.75,72.33333333,,,,,,,,,,,,,,,,2022,,,,,,,
483,Non-Rural,64,77,67,0,0,0,,Yes,The University of Melbourne,6.93,69.33333333,The University of Notre Dame Sydney,6.3,69.33333333,Griffith University,6.3,68.75,The University of Wollongong,6.3,68.75,,,,,,,,,,2022,,,,,,,
484,Rural,51,54,56,8,0,3,"rural experience and various long standing experiences- ?above average
",Yes,The University of Notre Dame Fremantle,6.3,53.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
485,Non-Rural,63,82,57,0,0,0,"wa resident, above average portfolio",Yes,The University of Notre Dame Fremantle,6.708,67.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
486,Non-Rural,63,71,64,0,0,0,,Yes,The University of Notre Dame Fremantle,6.68,66.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
487,Non-Rural,66,71,80,0,0,0,no,Yes,The University of Melbourne,6.93,72.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
488,Non-Rural,57,64,68,0,0,0,,No,,,,The University of Notre Dame Fremantle,6.6,63.0,The University of Notre Dame Sydney,6.6,63.0,,,,,,,,,,,,,2022,,,,,,,
489,Non-Rural,74,64,73,2,0,0,rmp,Yes,The University of Queensland,6.647,70.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
490,Non-Rural,68,69,73,0,0,0,,Yes,The University of Queensland,7.0,70.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
491,Non-Rural,81,80,78,0,0,0,,Yes,The University of Western Australia,6.8,79.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
492,Non-Rural,70,82,70,0,0,0,,Yes,Australian National University,6.8,73.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
493,Non-Rural,77,70,77,0,0,0,,Yes,The University of Melbourne,6.76,74.67,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
494,Non-Rural,63,72,69,0,2,0,,Yes,Australian National University,6.792,68.25,Deakin University,6.792,68.25,The University of Melbourne,6.75,68.0,,,,,,,,,,,,"
",2023,,4th,,,,,
495,Non-Rural,75,75,77,0,0,0,,Yes,Griffith University,6.844,76.0,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
496,Non-Rural,64,71,82,2,0,0,,Yes,Australian National University,6.609,74.75,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
497,Non-Rural,71,68,77,0,0,0,,Yes,The University of Melbourne,6.925,72.0,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
498,Non-Rural,67,71,83,0,2,0,"gam, above average port",Yes,The University of Melbourne,6.736,73.67,,,,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
499,Non-Rural,70,81,79,0,0,0,,Yes,Deakin University,6.722,77.25,The University of Melbourne,6.225,76.67,,,,,,,,,,,,,,,"
",2023,,,,,,,
500,Non-Rural,56,77,56,12,4,0,no,Yes,Deakin University,6.552,61.25,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
501,Non-Rural,76,74,69,0,0,0,gpa confirmed with gemsas via email for unimelb. i think it was 6.98 for anu.,Yes,The University of Melbourne,7.0,73.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
502,Non-Rural,70,78,84,0,0,0,,Yes,The University of Melbourne,7.0,77.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
503,Rural,57,63,83,10,0,0,,Yes,Griffith University,6.643,71.5,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
504,Non-Rural,65,78,78,0,2,0,,Yes,Australian National University,6.896,74.75,,,,,,,,,,,,,,,,,,"
",2023,,4th,,,,,
505,Non-Rural,65,83,65,0,0,0,,Yes,Griffith University,6.844,69.5,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
506,Non-Rural,65,64,85,0,0,0,,Yes,The University of Melbourne,6.934,71.33,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
507,Non-Rural,66,66,81,4,2,0,"gam application, above average portfolio for uow, 4% deakin bonus for financial disadvantage and work experience, honours bonus @ anu
",Yes,Deakin University,6.729,73.5,The University of Melbourne,6.688,71.0,,,,,,,,,,,,,,,"
",2023,,3rd,,,,,
508,Non-Rural,66,75,73,8,0,0,,Yes,Deakin University,6.967,71.75,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
509,Non-Rural,61,69,87,2,0,0,,Yes,Australian National University,6.505,76.0,,,,,,,,,,,,,,,,,,"
",2023,,,,,,,
