THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5.33,-,70,65,60,N/A,,GAMSAT,Bachelor of Medical Science,Local,Masters (research),Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.54,-,70,71,90,N/A,266.25 using 1.25*(S1+S2)+S3,GAMSAT,Diagnostic Radiography,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,2,University of Melbourne,University of Sydney,CSP,6.53,-,78,72,80,N/A,,GAMSAT,Aerospace Engineering,Local,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,CSP,6.48,-,63,84,88,N/A,,GAMSAT,BSc/BA,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.18,-,76,72,78,76,,GAMSAT,Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.18,-,76,72,78,76,,GAMSAT,Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.52,-,72,86,76,N/A,,GAMSAT,Bachelor of Health Sciences,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Sydney,No,2,University of Queensland,University of Sydney,BMP,6.33,-,58,67,65,64,,GAMSAT,Exercise Science,Local,Masters (coursework),Yes,8,Parallel Rural Community Curriculum (PRCC),No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,3,Griffith University,University of Sydney,BMP,5.92,-,68,71,57,63,N/A,GAMSAT,Bachelor of Biomedical Science,Local,Honours,Yes,2,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,CSP,6.2,-,77,63,92,81,,GAMSAT,Bachelor of Science,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.87,-,71,90,63,N/A,,GAMSAT,B. Environmental Biology (second undergrad started - Nursing),Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.82,-,64,90,67,N/A,,GAMSAT,Bachelor of Medical Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: Nephrology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6.62,-,70,72,89,N/A,,GAMSAT,BSci,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,BMP,6.15,-,62,63,68,N/A,,GAMSAT,BSci,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,BMP,5.98,-,69,76,68,70,,GAMSAT,Bachelor of Commerce,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5.35,-,59,56,93,75,,GAMSAT,Engineering,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,2,Flinders University,University of Sydney,CSP,6.11,-,69,72,92,N/A,,GAMSAT,Bachelor of Medical Science,Local,None,No,0,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,6.34,-,66,66,62,64,,GAMSAT,Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,6,-,70,70,84,N/A,,GAMSAT,Bachelor of Commerce,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.88,-,69,81,83,79,,GAMSAT,Psychology,Local,None,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,BMP,5.17,-,66,77,60,68,,GAMSAT,Medical Science,Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Sydney,No,1,University of Melbourne,University of Sydney,CSP,6.27,-,61,79,87,N/A,,GAMSAT,BA,Local,None,No,0,Non-Flinders degree holder,No,Yes,FRACGP: General Practice
Medical Student,2025,University of Sydney,No,2,University of Melbourne,University of Sydney,CSP,5.46,-,69,77,76,74,,GAMSAT,BSc (Hons),Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: Cardio-thoracic Surgery
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,6.4,-,61,64,66,49,,GAMSAT,Science,Local,None,Yes,6,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,CSP,6.1,-,62,73,90,79,,GAMSAT,BSci,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5,-,61,62,67,64,,GAMSAT,Bachelor of Geology,Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
